,PC1,PC2,PC3,PC4,PC5
Rush_Receiving_Yds,-0.07447265175062906,0.2532955820429741,0.22826536333086583,0.6690714802055809,-0.06988197138378947
Rush_Receiving_TD,0.04400249643422485,0.19919098517580455,0.17305752023948867,0.6095056926311333,-0.06858699262286905
Rush_Receiving_1D,-0.026504974245237036,0.20949770664380324,0.27861464101341715,0.8197010362297247,-0.04180345642380492
Rush_Receiving_R/G,0.07057946976171008,0.15038465976184082,0.33474045475089964,0.7754371657530713,0.010412561381132484
Rush_Receiving_Y/G,-0.09492262573654467,0.24488033442489152,0.22192748439069634,0.6812429221253629,-0.05406300197337062
Rush_Scrimmage_Touch,0.10896702347204762,0.9306432302530705,0.0395528518294534,-0.13768069288173934,-0.1335054644742853
Rush_Scrimmage_Y/Tch,-0.19165050122138388,0.7732030481834848,-0.029868904988445542,-0.054397922018023064,0.21746316059445508
Rush_Scrimmage_YScm,0.015180591385886191,0.964689903007266,-0.009520480561020738,-0.1483534196814717,-0.04736616339923971
Rush_Scrimmage_RRTD,0.08754063734410072,0.7654029671584248,0.06972651247526944,0.042519023661332395,-0.27407977361118707
total_yards,0.9116134865714429,0.10984785795342951,0.31696068086090423,-0.14738821536301996,-0.04443532806709735
