Component,Eigenvalue,Variance_Explained_%,Cumulative_Variance_%
1,13.896077554647984,28.27099508860927,28.27099508860927
2,10.761590132353302,21.894010060099525,50.165005148708794
3,4.412909901272693,8.977882690617719,59.14288783932652
4,4.361013628979687,8.872301870897697,68.01518971022422
5,2.55462297240814,5.197274786512838,73.21246449673706
6,2.0007342234086174,4.070411033700535,77.2828755304376
7,1.6712781023930656,3.40014618072211,80.68302171115971
8,1.4291551168415308,2.907556980032358,83.59057869119206
9,1.1792016352492136,2.3990369589913416,85.98961565018341
10,1.0014127560026016,2.037332836930716,88.02694848711413
11,0.8824619725849209,1.795332387482831,89.82228087459696
12,0.7676490938212212,1.5617503339232666,91.38403120852021
13,0.7047291330482108,1.4337422758943819,92.81777348441459
14,0.5904340316980659,1.201213619069114,94.01898710348371
15,0.552353664735528,1.1237406873632707,95.14272779084698
16,0.4436881747108782,0.9026652419574094,96.0453930328044
17,0.4295434624916673,0.8738884099264635,96.91928144273085
18,0.2761264098902122,0.561767761236365,97.48104920396722
19,0.2120711829558639,0.4314500511531338,97.91249925512035
20,0.20047835468866843,0.40786492148498865,98.32036417660535
21,0.18712836499051405,0.38070491955600777,98.70106909616135
22,0.13461257692973913,0.2738637206276082,98.97493281678896
23,0.09831635056023004,0.20002054917206175,99.17495336596103
24,0.09632513905033611,0.19596951170517857,99.3709228776662
25,0.06027202774560385,0.12262094779447656,99.49354382546068
26,0.04703311051328344,0.09568691820364099,99.58923074366432
27,0.0409709533621114,0.08335371019057562,99.67258445385488
28,0.03177531089509786,0.06464555589313566,99.73723000974802
29,0.024942700390140404,0.0507448923952249,99.78797490214325
30,0.01975852880810775,0.04019790971196183,99.82817281185521
31,0.018924484636436943,0.03850108133803686,99.86667389319325
32,0.015703173894475488,0.03194745785639362,99.89862135104964
33,0.014753949296840558,0.030016299669330383,99.92863765071898
34,0.010205336463645003,0.020762334975945065,99.94939998569492
35,0.009825884549059073,0.019990355748610217,99.96939034144353
36,0.00552455652025447,0.011239481762867501,99.9806298232064
37,0.0036783072366285362,0.0074833639501629525,99.98811318715657
38,0.0023882850890945538,0.004858867242102211,99.99297205439866
39,0.0012895218626356856,0.0026234788991253044,99.99559553329779
40,0.0009965748953298954,0.0020274904094701907,99.99762302370726
41,0.0006392078655153503,0.0013004419668441222,99.99892346567411
42,0.0002871495899101312,0.0005841939651042147,99.9995076596392
43,0.00013155301961324293,0.0002676391778004814,99.99977529881701
44,9.393753001684203e-05,0.00019111201987023605,99.99996641083688
45,1.6510123346553707e-05,3.358916314385646e-05,100.00000000000003
46,1.1230813358134968e-31,2.2848625307414247e-31,100.00000000000003
47,1.031274136940318e-31,2.098084581479443e-31,100.00000000000003
48,9.604478977223322e-32,1.9539915269320751e-31,100.00000000000003
49,9.604478977223322e-32,1.9539915269320751e-31,100.00000000000003
