years_since_draft,n_paid,n_qbs,pct_got_paid,metric_bin_min,metric_bin_max,metric_bin_mid
0.0,2,8,25.0,3.321,4.068,3.6944999999999997
0.0,2,6,33.33333333333333,4.068,4.814,4.441
0.0,4,15,26.666666666666668,4.814,5.561,5.1875
0.0,5,9,55.55555555555556,5.561,6.308,5.9345
0.0,2,6,33.33333333333333,6.308,7.055,6.6815
0.0,3,4,75.0,7.055,7.802,7.4285
1.0,1,7,14.285714285714285,4.068,4.814,4.441
1.0,5,17,29.411764705882355,4.814,5.561,5.1875
1.0,7,13,53.84615384615385,5.561,6.308,5.9345
1.0,5,7,71.42857142857143,6.308,7.055,6.6815
1.0,1,4,25.0,7.055,7.802,7.4285
1.0,2,3,66.66666666666666,7.802,8.548,8.175
2.0,1,5,20.0,4.068,4.814,4.441
2.0,4,12,33.33333333333333,4.814,5.561,5.1875
2.0,4,8,50.0,5.561,6.308,5.9345
2.0,6,13,46.15384615384615,6.308,7.055,6.6815
2.0,4,6,66.66666666666666,7.055,7.802,7.4285
2.0,3,3,100.0,7.802,8.548,8.175
3.0,0,3,0.0,3.321,4.068,3.6944999999999997
3.0,1,4,25.0,4.068,4.814,4.441
3.0,6,12,50.0,4.814,5.561,5.1875
3.0,8,15,53.333333333333336,5.561,6.308,5.9345
3.0,5,13,38.46153846153847,6.308,7.055,6.6815
3.0,2,7,28.57142857142857,7.802,8.548,8.175
4.0,0,3,0.0,1.827,2.574,2.2005
4.0,0,6,0.0,3.321,4.068,3.6944999999999997
4.0,1,16,6.25,4.068,4.814,4.441
4.0,2,20,10.0,4.814,5.561,5.1875
4.0,3,8,37.5,5.561,6.308,5.9345
4.0,7,8,87.5,6.308,7.055,6.6815
4.0,7,9,77.77777777777779,7.055,7.802,7.4285
5.0,0,3,0.0,2.574,3.321,2.9475
5.0,5,8,62.5,4.068,4.814,4.441
5.0,1,5,20.0,4.814,5.561,5.1875
5.0,5,8,62.5,5.561,6.308,5.9345
5.0,0,4,0.0,6.308,7.055,6.6815
5.0,3,5,60.0,7.055,7.802,7.4285
6.0,0,3,0.0,3.321,4.068,3.6944999999999997
6.0,1,4,25.0,4.068,4.814,4.441
6.0,3,5,60.0,4.814,5.561,5.1875
6.0,3,4,75.0,5.561,6.308,5.9345
6.0,5,8,62.5,6.308,7.055,6.6815
6.0,1,4,25.0,7.055,7.802,7.4285
