target_qb_id,target_qb_name,decision_year,metric,n_comps,payment_rate_pct,comps_paid,comps_not_paid,is_projection
MannEl00,Eli Manning,4,total_yards_adj,10,60.0,6,4,False
MannEl00,Eli Manning,4,Pass_ANY/A_adj,10,30.0,3,7,False
