target_qb_id,target_qb_name,decision_year,metric,n_comps,payment_rate_pct,comps_paid,comps_not_paid,is_projection
DaniJa02,Jayden Daniels,2,total_yards_adj,10,50.0,5,5,True
DaniJa02,Jayden Daniels,2,Pass_ANY/A_adj,10,60.0,6,4,True
