season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2006,23,DEN,NFL,QB,5.0,5.0,2-3-0,81.0,137.0,59.1,1001.0,9.0,6.6,5.0,3.6,49.0,41.3,71.0,7.3,6.98,12.4,200.2,88.5,41.9,13.0,85.0,8.67,6.11,5.81,0.0,0.0,3.0,,23,DEN,NFL,QB,5.0,5.0,12.0,18.0,0.0,1.0,25.0,9.0,1.5,3.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.5,18.0,0.0,8.0,,Jay Cutler,CutlJa00,2006,DEN,1019.0
2007,24,DEN,NFL,QB,16.0,16.0,7-9-0,297.0,467.0,63.6,3497.0,20.0,4.3,14.0,3.0,174.0,47.2,68.0,7.5,7.0,11.8,218.6,88.1,64.3,27.0,153.0,5.47,6.77,6.3,2.0,3.0,12.0,,24,DEN,NFL,QB,16.0,16.0,44.0,205.0,1.0,15.0,45.5,31.0,4.7,12.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,4.7,205.0,1.0,11.0,,Jay Cutler,CutlJa00,2006,DEN,3702.0
2008,25,DEN,NFL,QB,16.0,16.0,8-8-0,384.0,616.0,62.3,4526.0,25.0,4.1,18.0,2.9,223.0,51.7,93.0,7.3,6.84,11.8,282.9,86.0,61.9,11.0,69.0,1.75,7.11,6.61,3.0,4.0,15.0,PB,25,DEN,NFL,QB,16.0,16.0,57.0,200.0,2.0,14.0,42.1,18.0,3.5,12.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.5,200.0,2.0,5.0,PB,Jay Cutler,CutlJa00,2006,DEN,4726.0
2009,26,CHI,NFL,QB,16.0,16.0,7-9-0,336.0,555.0,60.5,3666.0,27.0,4.9,26.0,4.7,169.0,41.7,71.0,6.6,5.47,10.9,229.1,76.8,49.9,35.0,204.0,5.93,5.87,4.8,2.0,4.0,10.0,,26,CHI,NFL,QB,16.0,16.0,40.0,173.0,1.0,14.0,40.0,30.0,4.3,10.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.3,173.0,1.0,9.0,,Jay Cutler,CutlJa00,2006,DEN,3839.0
2010,27,CHI,NFL,QB,15.0,15.0,10-5-0,261.0,432.0,60.4,3274.0,23.0,5.3,16.0,3.7,159.0,43.6,89.0,7.6,6.98,12.5,218.3,86.3,51.4,52.0,352.0,10.74,6.04,5.5,4.0,4.0,12.0,,27,CHI,NFL,QB,15.0,15.0,50.0,232.0,1.0,18.0,48.0,25.0,4.6,15.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.6,232.0,1.0,10.0,,Jay Cutler,CutlJa00,2006,DEN,3506.0
2011,28,CHI,NFL,QB,10.0,10.0,7-3-0,182.0,314.0,58.0,2319.0,13.0,4.1,7.0,2.2,107.0,41.8,56.0,7.4,7.21,12.7,231.9,85.7,60.5,23.0,159.0,6.82,6.41,6.25,1.0,1.0,7.0,,28,CHI,NFL,QB,10.0,10.0,18.0,55.0,1.0,4.0,27.8,12.0,3.1,5.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.1,55.0,1.0,7.0,,Jay Cutler,CutlJa00,2006,DEN,2374.0
2012,29,CHI,NFL,QB,15.0,15.0,10-5-0,255.0,434.0,58.8,3033.0,19.0,4.4,14.0,3.2,152.0,40.3,60.0,7.0,6.41,11.9,202.2,81.3,48.1,38.0,250.0,8.05,5.9,5.37,1.0,1.0,11.0,,29,CHI,NFL,QB,15.0,15.0,41.0,233.0,0.0,15.0,51.2,24.0,5.7,15.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.7,233.0,0.0,8.0,,Jay Cutler,CutlJa00,2006,DEN,3266.0
2013,30,CHI,NFL,QB,11.0,11.0,5-6-0,224.0,355.0,63.1,2621.0,19.0,5.4,12.0,3.4,125.0,45.2,67.0,7.4,6.93,11.7,238.3,89.2,70.1,19.0,132.0,5.08,6.66,6.23,3.0,3.0,9.0,,30,CHI,NFL,QB,11.0,11.0,23.0,118.0,0.0,7.0,43.5,18.0,5.1,10.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.1,118.0,0.0,5.0,,Jay Cutler,CutlJa00,2006,DEN,2739.0
2014,31,CHI,NFL,QB,15.0,15.0,5-10-0,370.0,561.0,66.0,3812.0,28.0,5.0,18.0,3.2,181.0,46.6,74.0,6.8,6.35,10.3,254.1,88.6,50.9,38.0,223.0,6.34,5.99,5.57,1.0,1.0,11.0,,31,CHI,NFL,QB,15.0,15.0,39.0,191.0,2.0,14.0,38.5,25.0,4.9,12.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,4.9,191.0,2.0,12.0,,Jay Cutler,CutlJa00,2006,DEN,4003.0
2015,32,CHI,NFL,QB,15.0,15.0,6-9-0,311.0,483.0,64.4,3659.0,21.0,4.3,11.0,2.3,173.0,47.1,87.0,7.6,7.42,11.8,243.9,92.3,61.0,29.0,150.0,5.66,6.85,6.71,4.0,4.0,11.0,,32,CHI,NFL,QB,15.0,15.0,38.0,201.0,1.0,16.0,63.2,26.0,5.3,13.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.3,201.0,1.0,8.0,,Jay Cutler,CutlJa00,2006,DEN,3860.0
