season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2011,22,JAX,NFL,QB,15.0,14.0,4-10-0,210.0,413.0,50.8,2214.0,12.0,2.9,11.0,2.7,111.0,32.2,74.0,5.4,4.74,10.5,147.6,65.4,22.2,40.0,293.0,8.83,4.24,3.68,0.0,0.0,4.0,,22,JAX,NFL,QB,15.0,14.0,48.0,98.0,0.0,8.0,29.2,12.0,2.0,6.5,3.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,48.0,2.0,98.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,2312.0
2012,23,JAX,NFL,QB,10.0,10.0,1-9-0,162.0,278.0,58.3,1662.0,9.0,3.2,6.0,2.2,72.0,37.3,80.0,6.0,5.65,10.3,166.2,77.4,36.1,22.0,158.0,7.33,5.01,4.71,1.0,1.0,3.0,,23,JAX,NFL,QB,10.0,10.0,18.0,56.0,0.0,7.0,55.6,10.0,3.1,5.6,1.8,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,18.0,3.1,56.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,1718.0
2013,24,JAX,NFL,QB,3.0,3.0,0-3-0,42.0,86.0,48.8,481.0,1.0,1.2,7.0,8.1,23.0,28.6,67.0,5.6,2.16,11.5,160.3,36.0,4.0,12.0,67.0,12.24,4.22,1.21,0.0,0.0,1.0,,24,JAX,NFL,QB,3.0,3.0,9.0,32.0,0.0,0.0,55.6,7.0,3.6,10.7,3.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,9.0,3.6,32.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,513.0
2014,25,SFO,NFL,QB,1.0,0.0,,3.0,7.0,42.9,38.0,1.0,14.3,0.0,0.0,2.0,42.9,20.0,5.4,8.29,12.7,38.0,100.0,91.5,0.0,0.0,0.0,5.43,8.29,0.0,0.0,0.0,,25,SFO,NFL,QB,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,5.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,43.0
2015,26,SFO,NFL,QB,8.0,8.0,3-5-0,178.0,282.0,63.1,2031.0,10.0,3.5,7.0,2.5,85.0,38.4,71.0,7.2,6.79,11.4,253.9,86.2,37.6,25.0,164.0,8.14,6.08,5.71,2.0,2.0,5.0,,26,SFO,NFL,QB,8.0,8.0,32.0,185.0,1.0,10.0,50.0,44.0,5.8,23.1,4.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,32.0,5.8,185.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,2216.0
2016,27,SFO,NFL,QB,6.0,5.0,1-4-0,91.0,160.0,56.9,925.0,5.0,3.1,6.0,3.8,50.0,40.4,75.0,5.8,4.72,10.2,154.2,68.4,54.1,11.0,48.0,6.43,5.13,4.13,0.0,0.0,0.0,,27,SFO,NFL,QB,6.0,5.0,40.0,173.0,2.0,16.0,52.5,24.0,4.3,28.8,6.7,1.0,1.0,-16.0,-16.0,0.0,0.0,0.0,-16.0,0.2,-2.7,100.0,-16.0,41.0,3.8,157.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,1098.0
2017,28,ARI,NFL,QB,5.0,5.0,2-3-0,95.0,171.0,55.6,1086.0,6.0,3.5,6.0,3.5,55.0,39.2,52.0,6.4,5.47,11.4,217.2,71.9,33.2,23.0,149.0,11.86,4.83,4.06,2.0,2.0,2.0,,28,ARI,NFL,QB,5.0,5.0,22.0,82.0,0.0,7.0,45.5,12.0,3.7,16.4,4.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,22.0,3.7,82.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,1168.0
2018,29,TEN,NFL,QB,8.0,3.0,2-1-0,61.0,101.0,60.4,626.0,4.0,4.0,4.0,4.0,32.0,39.6,35.0,6.2,5.21,10.3,78.3,74.9,27.0,5.0,37.0,4.72,5.56,4.61,2.0,2.0,2.0,,29,TEN,NFL,QB,8.0,3.0,6.0,0.0,0.0,2.0,33.3,,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,6.0,0.0,0.0,0.0,0.0,,29,TEN,NFL,QB,8.0,3.0,61.0,101.0,710.0,7.0,325.0,5.3,3.2,301.0,4.9,0.0,2.0,0.0,4.0,4.0,24.0,24.2,,,2.1,28.0,9.0,2.0,16.0,15.1,0.0,,,,,,,,,,,Blaine Gabbert,GabbBl00,2011,JAX,626.0
2020,31,TAM,NFL,QB,4.0,0.0,,9.0,16.0,56.3,143.0,2.0,12.5,0.0,0.0,5.0,41.2,35.0,8.9,11.44,15.9,35.8,125.8,53.1,1.0,7.0,5.88,8.0,10.35,0.0,0.0,1.0,,31,TAM,NFL,QB,4.0,0.0,9.0,16.0,0.0,0.0,11.1,16.0,1.8,4.0,2.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,9.0,1.8,16.0,0.0,1.0,,31,TAM,NFL,QB,4.0,0.0,9.0,16.0,108.0,6.8,63.0,7.0,3.9,80.0,8.9,0.0,0.0,0.0,1.0,6.3,5.0,31.3,11.0,68.8,1.6,8.0,1.0,0.0,2.0,10.5,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,,Blaine Gabbert,GabbBl00,2011,JAX,159.0
2021,32,TAM,NFL,QB,6.0,0.0,,7.0,11.0,63.6,67.0,0.0,0.0,0.0,0.0,4.0,41.7,23.0,6.1,6.09,9.6,11.2,80.5,36.6,1.0,10.0,8.33,4.75,4.75,0.0,0.0,0.0,,32,TAM,NFL,QB,6.0,0.0,9.0,-7.0,0.0,0.0,0.0,,-0.8,-1.2,1.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,9.0,-0.8,-7.0,0.0,0.0,,32,TAM,NFL,QB,6.0,0.0,7.0,11.0,90.0,8.2,28.0,4.0,2.5,39.0,5.6,1.0,0.0,0.0,0.0,0.0,2.0,18.2,7.0,63.6,2.0,3.0,1.0,0.0,2.0,16.7,0.0,,1.0,14.0,1.0,14.0,0.0,0.0,1.0,14.0,,Blaine Gabbert,GabbBl00,2011,JAX,60.0
