season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_Unnamed: 31_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2010,23,STL,NFL,QB,16.0,16.0,7-9-0,354.0,590.0,60.0,3512.0,18.0,3.1,15.0,2.5,179.0,42.1,49.0,6.0,5.42,9.9,219.5,76.5,46.9,34.0,244.0,5.45,5.24,4.73,0.0,0.0,9.0,AP ORoY-1,23,STL,NFL,QB,16.0,16.0,27.0,63.0,1.0,6.0,29.6,17.0,2.3,3.9,1.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,27.0,2.3,63.0,1.0,7.0,AP ORoY-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bradford,BradSa00,2010,STL,3575.0
2011,24,STL,NFL,QB,10.0,10.0,1-9-0,191.0,357.0,53.5,2164.0,6.0,1.7,6.0,1.7,104.0,37.4,68.0,6.1,5.64,11.3,216.4,70.5,31.4,36.0,248.0,9.16,4.88,4.49,1.0,1.0,3.0,,24,STL,NFL,QB,10.0,10.0,18.0,26.0,0.0,3.0,33.3,17.0,1.4,2.6,1.8,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,18.0,1.4,26.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bradford,BradSa00,2010,STL,2190.0
2012,25,STL,NFL,QB,16.0,16.0,7-8-1,328.0,551.0,59.5,3702.0,21.0,3.8,13.0,2.4,185.0,43.5,80.0,6.7,6.42,11.3,231.4,82.6,51.6,35.0,233.0,5.97,5.92,5.64,4.0,3.0,10.0,,25,STL,NFL,QB,16.0,16.0,36.0,124.0,1.0,8.0,33.3,21.0,3.4,7.8,2.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,36.0,3.4,124.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bradford,BradSa00,2010,STL,3826.0
2013,26,STL,NFL,QB,7.0,7.0,3-4-0,159.0,262.0,60.7,1687.0,14.0,5.3,4.0,1.5,86.0,45.8,73.0,6.4,6.82,10.6,241.0,90.9,56.9,15.0,97.0,5.42,5.74,6.1,1.0,1.0,6.0,,26,STL,NFL,QB,7.0,7.0,15.0,31.0,0.0,2.0,20.0,23.0,2.1,4.4,2.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,15.0,2.1,31.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bradford,BradSa00,2010,STL,1718.0
2015,28,PHI,NFL,QB,14.0,14.0,7-7-0,346.0,532.0,65.0,3725.0,19.0,3.6,14.0,2.6,170.0,45.2,78.0,7.0,6.53,10.8,266.1,86.4,39.2,28.0,200.0,5.0,6.29,5.85,0.0,2.0,8.0,,28,PHI,NFL,QB,14.0,14.0,26.0,39.0,0.0,2.0,23.1,14.0,1.5,2.8,1.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,26.0,1.5,39.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bradford,BradSa00,2010,STL,3764.0
2016,29,MIN,NFL,QB,15.0,15.0,7-8-0,395.0,552.0,71.6,3877.0,20.0,3.6,5.0,0.9,199.0,49.1,71.0,7.0,7.34,9.8,258.5,99.3,53.1,37.0,276.0,6.28,6.11,6.41,1.0,1.0,11.0,,29,MIN,NFL,QB,15.0,15.0,20.0,53.0,0.0,3.0,25.0,24.0,2.7,3.5,1.3,1.0,1.0,5.0,5.0,0.0,0.0,100.0,5.0,0.1,0.3,100.0,5.0,21.0,2.8,58.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bradford,BradSa00,2010,STL,3930.0
2017,30,MIN,NFL,QB,2.0,2.0,2-0-0,32.0,43.0,74.4,382.0,3.0,7.0,0.0,0.0,17.0,50.0,44.0,8.9,10.28,11.9,191.0,124.4,75.1,5.0,40.0,10.42,7.13,8.38,0.0,0.0,1.0,,30,MIN,NFL,QB,2.0,2.0,2.0,-3.0,0.0,0.0,0.0,-1.0,-1.5,-1.5,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,2.0,-1.5,-3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bradford,BradSa00,2010,STL,379.0
2018,31,ARI,NFL,QB,3.0,3.0,0-3-0,50.0,80.0,62.5,400.0,2.0,2.5,4.0,5.0,16.0,32.6,35.0,5.0,3.25,8.0,133.3,62.5,27.9,6.0,33.0,6.98,4.27,2.64,0.0,0.0,1.0,,31,ARI,NFL,QB,3.0,3.0,2.0,7.0,0.0,1.0,50.0,8.0,3.5,2.3,0.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,2.0,3.5,7.0,0.0,3.0,,31,ARI,NFL,QB,3.0,3.0,50.0,80.0,512.0,6.4,208.0,4.2,2.6,192.0,3.8,0.0,2.0,0.0,5.0,6.4,11.0,14.1,2.2,17.0,8.0,9.0,23.0,26.4,1.0,8.0,,Sam Bradford,BradSa00,2010,STL,407.0
