season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 30_level_0_Fmb,Rush_Unnamed: 31_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2002,23,HOU,NFL,QB,16.0,16.0,4-12-0,233.0,444.0,52.5,2592.0,9.0,2.0,15.0,3.4,118.0,34.2,81.0,5.8,4.72,11.1,162.0,62.8,,76.0,411.0,14.62,4.19,3.24,2.0,3.0,5.0,AP ORoY-3,23,HOU,NFL,QB,16.0,16.0,59.0,282.0,3.0,16.0,44.1,20.0,4.8,17.6,3.7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,59.0,4.8,282.0,3.0,21.0,AP ORoY-3,David Carr,CarrDa00,2002,HOU,2874.0
2003,24,HOU,NFL,QB,12.0,11.0,3-8-0,167.0,295.0,56.6,2013.0,9.0,3.1,13.0,4.4,85.0,42.9,78.0,6.8,5.45,12.1,167.8,69.5,,15.0,90.0,4.84,6.2,4.9,2.0,2.0,7.0,,24,HOU,NFL,QB,12.0,11.0,27.0,151.0,2.0,11.0,55.6,36.0,5.6,12.6,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.6,151.0,2.0,4.0,,David Carr,CarrDa00,2002,HOU,2164.0
2004,25,HOU,NFL,QB,16.0,16.0,7-9-0,285.0,466.0,61.2,3531.0,16.0,3.4,14.0,3.0,172.0,45.6,69.0,7.6,6.91,12.4,220.7,83.5,,49.0,301.0,9.51,6.27,5.67,1.0,1.0,13.0,,25,HOU,NFL,QB,16.0,16.0,73.0,299.0,0.0,25.0,46.6,24.0,4.1,18.7,4.6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,73.0,4.1,299.0,0.0,10.0,,David Carr,CarrDa00,2002,HOU,3830.0
2005,26,HOU,NFL,QB,16.0,16.0,2-14-0,256.0,423.0,60.5,2488.0,14.0,3.3,11.0,2.6,139.0,41.1,53.0,5.9,5.37,9.7,155.5,77.2,,68.0,424.0,13.85,4.2,3.77,0.0,1.0,11.0,,26,HOU,NFL,QB,16.0,16.0,56.0,308.0,1.0,20.0,50.0,20.0,5.5,19.3,3.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,56.0,5.5,308.0,1.0,17.0,,David Carr,CarrDa00,2002,HOU,2796.0
2006,27,HOU,NFL,QB,16.0,16.0,6-10-0,302.0,442.0,68.3,2767.0,11.0,2.5,12.0,2.7,142.0,44.3,53.0,6.3,5.54,9.2,172.9,82.1,45.8,41.0,240.0,8.49,5.23,4.57,1.0,3.0,10.0,,27,HOU,NFL,QB,16.0,16.0,53.0,195.0,2.0,16.0,45.3,16.0,3.7,12.2,3.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,53.0,3.7,195.0,2.0,16.0,,David Carr,CarrDa00,2002,HOU,2962.0
2007,28,CAR,NFL,QB,6.0,4.0,1-3-0,73.0,136.0,53.7,635.0,3.0,2.2,5.0,3.7,32.0,34.2,38.0,4.7,3.46,8.7,105.8,58.3,20.0,13.0,74.0,8.72,3.77,2.66,1.0,1.0,2.0,,28,CAR,NFL,QB,6.0,4.0,17.0,59.0,0.0,5.0,41.2,15.0,3.5,9.8,2.8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,17.0,3.5,59.0,0.0,1.0,,David Carr,CarrDa00,2002,HOU,694.0
2008,29,NYG,NFL,QB,3.0,0.0,,9.0,12.0,75.0,115.0,2.0,16.7,0.0,0.0,7.0,61.5,27.0,9.6,12.92,12.8,38.3,144.1,88.2,1.0,2.0,7.69,8.69,11.77,0.0,0.0,0.0,,29,NYG,NFL,QB,3.0,0.0,8.0,10.0,0.0,0.0,12.5,7.0,1.3,3.3,2.7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,8.0,1.3,10.0,0.0,0.0,,David Carr,CarrDa00,2002,HOU,125.0
2009,30,NYG,NFL,QB,6.0,0.0,,21.0,33.0,63.6,225.0,1.0,3.0,0.0,0.0,11.0,48.6,37.0,6.8,7.42,10.7,37.5,93.6,70.7,2.0,11.0,5.71,6.11,6.69,0.0,0.0,1.0,,30,NYG,NFL,QB,6.0,0.0,9.0,27.0,1.0,2.0,44.4,12.0,3.0,4.5,1.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,9.0,3.0,27.0,1.0,1.0,,David Carr,CarrDa00,2002,HOU,252.0
2010,31,SFO,NFL,QB,1.0,0.0,,5.0,13.0,38.5,67.0,0.0,0.0,1.0,7.7,2.0,28.6,22.0,5.2,1.69,13.4,67.0,23.6,4.6,1.0,5.0,7.14,4.43,1.21,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,David Carr,CarrDa00,2002,HOU,67.0
2012,33,NYG,NFL,QB,2.0,0.0,,2.0,3.0,66.7,19.0,0.0,0.0,0.0,0.0,1.0,50.0,15.0,6.3,6.33,9.5,9.5,84.0,2.3,1.0,6.0,25.0,3.25,3.25,0.0,0.0,0.0,,33,NYG,NFL,QB,2.0,0.0,3.0,-3.0,0.0,0.0,0.0,-1.0,-1.0,-1.5,1.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0,-1.0,-3.0,0.0,1.0,,David Carr,CarrDa00,2002,HOU,16.0
