season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2014,22,CLE,NFL,QB,5,2,0-2-0,18,35,51.4,175,0,0.0,2,5.7,6,28.9,32,5.0,2.43,9.7,35.0,42.0,7.8,3,26,7.89,3.92,1.55,0,0,0,,22,CLE,NFL,QB,5,2,9,29,1,1,33.3,10,3.2,5.8,1.8,0,0,0,0,0,0.0,0.0,9,3.2,29,1,1,,Johnny Manziel,ManzJo00,2014,CLE,204
2015,23,CLE,NFL,QB,9,6,2-4-0,129,223,57.8,1500,7,3.1,5,2.2,72,41.3,61,6.7,6.35,11.6,166.7,79.4,58.6,19,141,7.85,5.62,5.26,0,0,4,,23,CLE,NFL,QB,9,6,37,230,0,11,45.9,34,6.2,25.6,4.1,0,0,0,0,0,0.0,0.0,37,6.2,230,0,6,,Johnny Manziel,ManzJo00,2014,CLE,1730
