season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2020,22,MIA,NFL,QB,10,9,6-3-0,186,290,64.1,1814,11,3.8,5,1.7,100,47.7,35,6.3,6.24,9.8,181.4,87.1,44.8,20,136,6.45,5.41,5.4,2,2,5,,22,MIA,NFL,QB,10,9,36,109,3,13,52.8,17,3.0,10.9,3.6,0,0,0,0,0,0.0,0.0,36,3.0,109,3,1,,22,MIA,NFL,QB,10,9,186,290,2175,7.5,1048,5.6,3.6,766,4.1,2,5,3,12,4.3,53,18.8,209,74.1,2.3,115,14,14,48,14.7,16,5.8,32,208,28,195,4,13,78,466,,Tua Tagovailoa,TagoTu00,2020,MIA,1923
2021,23,MIA,NFL,QB,13,12,7-5-0,263,388,67.8,2653,16,4.1,10,2.6,137,50.2,65,6.8,6.5,10.1,204.1,90.1,55.7,20,152,4.9,6.13,5.81,0,2,7,,23,MIA,NFL,QB,13,12,42,128,3,13,40.5,23,3.0,9.8,3.2,0,0,0,0,0,0.0,0.0,42,3.0,128,3,9,,23,MIA,NFL,QB,13,12,263,388,2734,7.0,1436,5.5,3.7,1217,4.6,1,6,1,17,4.5,62,16.3,305,80.1,2.2,100,45,24,89,20.9,18,6.9,94,858,90,847,4,11,116,990,,Tua Tagovailoa,TagoTu00,2020,MIA,2781
2022,24,MIA,NFL,QB,13,13,8-5-0,259,400,64.8,3548,25,6.3,8,2.0,162,49.9,84,8.9,9.22,13.7,272.9,105.5,70.6,21,163,4.99,8.04,8.37,2,2,12,AP MVP-9,24,MIA,NFL,QB,13,13,23,70,0,4,34.8,18,3.0,5.4,1.8,0,0,0,0,0,0.0,0.0,23,3.0,70,0,6,AP MVP-9,24,MIA,NFL,QB,13,13,259,400,3790,9.5,2267,8.8,5.7,1281,4.9,6,13,1,26,6.7,61,15.8,296,76.7,2.3,86,40,25,86,20.0,10,7.6,74,622,71,615,1,7,159,1431,AP MVP-9,Tua Tagovailoa,TagoTu00,2020,MIA,3618
2023,25,MIA,NFL,QB,17,17,11-6-0,388,560,69.3,4624,29,5.2,14,2.5,222,50.8,78,8.3,8.17,11.9,272.0,101.1,60.8,29,171,4.92,7.56,7.48,2,2,16,"PB,AP CPoY-5",25,MIA,NFL,QB,17,17,35,74,0,5,20.0,9,2.1,4.4,2.1,0,0,0,0,0,0.0,0.0,35,2.1,74,0,13,"PB,AP CPoY-5",25,MIA,NFL,QB,17,17,388,560,4290,7.7,2447,6.3,4.4,2177,5.6,9,14,2,24,4.4,78,14.3,430,79.0,2.1,116,39,27,95,15.7,15,5.3,111,1073,105,1069,1,4,126,1145,"PB,AP CPoY-5",Tua Tagovailoa,TagoTu00,2020,MIA,4698
2024,26,MIA,NFL,QB,11,11,6-5-0,291,399,72.9,2867,19,4.8,7,1.8,161,51.9,80,7.2,7.35,9.9,260.6,101.4,60.3,21,154,5.0,6.46,6.61,2,2,9,,26,MIA,NFL,QB,11,11,17,49,0,5,41.2,13,2.9,4.5,1.5,0,0,0,0,0,0.0,0.0,17,2.9,49,0,7,,26,MIA,NFL,QB,11,11,291,399,2281,5.7,1182,4.1,3.0,1685,5.8,6,6,2,14,3.6,45,11.5,318,81.3,2.1,64,26,11,58,13.6,7,8.1,72,673,69,662,1,11,69,505,,Tua Tagovailoa,TagoTu00,2020,MIA,2916
