season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2013,23,BUF,NFL,QB,10.0,10.0,4-6-0,180.0,306.0,58.8,1972.0,11.0,3.6,9.0,2.9,89.0,40.7,45.0,6.4,5.84,11.0,197.2,77.7,38.2,28.0,159.0,8.38,5.43,4.87,1.0,2.0,5.0,,23,BUF,NFL,QB,10.0,10.0,53.0,186.0,2.0,18.0,41.5,19.0,3.5,18.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,3.5,186.0,2.0,6.0,,EJ Manuel,ManuEJ00,2013,BUF,2158.0
2014,24,BUF,NFL,QB,5.0,4.0,2-2-0,76.0,131.0,58.0,838.0,5.0,3.8,3.0,2.3,41.0,42.3,80.0,6.4,6.13,11.0,167.6,80.3,26.0,6.0,44.0,4.38,5.8,5.54,0.0,1.0,2.0,,24,BUF,NFL,QB,5.0,4.0,16.0,52.0,1.0,2.0,25.0,8.0,3.3,10.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.3,52.0,1.0,1.0,,EJ Manuel,ManuEJ00,2013,BUF,890.0
2015,25,BUF,NFL,QB,7.0,2.0,0-2-0,52.0,84.0,61.9,561.0,3.0,3.6,3.0,3.6,26.0,46.7,58.0,6.7,5.79,10.8,80.1,78.5,35.7,6.0,45.0,6.67,5.73,4.9,0.0,0.0,2.0,,25,BUF,NFL,QB,7.0,2.0,17.0,64.0,1.0,11.0,58.8,16.0,3.8,9.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.8,64.0,1.0,2.0,,EJ Manuel,ManuEJ00,2013,BUF,625.0
2016,26,BUF,NFL,QB,6.0,1.0,0-1-0,11.0,26.0,42.3,131.0,0.0,0.0,0.0,0.0,6.0,37.9,35.0,5.0,5.04,11.9,21.8,58.3,24.3,3.0,20.0,10.34,3.83,3.83,0.0,0.0,1.0,,26,BUF,NFL,QB,6.0,1.0,8.0,22.0,0.0,3.0,50.0,8.0,2.8,3.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.8,22.0,0.0,2.0,,EJ Manuel,ManuEJ00,2013,BUF,153.0
2017,27,OAK,NFL,QB,2.0,1.0,0-1-0,24.0,43.0,55.8,265.0,1.0,2.3,1.0,2.3,13.0,38.3,41.0,6.2,5.58,11.0,132.5,72.3,57.0,4.0,29.0,8.51,5.02,4.49,0.0,0.0,1.0,,27,OAK,NFL,QB,2.0,1.0,2.0,15.0,0.0,1.0,100.0,10.0,7.5,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.5,15.0,0.0,0.0,,EJ Manuel,ManuEJ00,2013,BUF,280.0
