season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2016,22,LAR,NFL,QB,7.0,7.0,0-7-0,112.0,205.0,54.6,1089.0,5.0,2.4,7.0,3.4,48.0,29.4,66.0,5.3,4.26,9.7,155.6,63.6,18.3,26.0,222.0,11.26,3.75,2.82,0.0,0.0,-2.0,,22,LAR,NFL,QB,7.0,7.0,8.0,16.0,1.0,1.0,25.0,6.0,2.0,2.3,1.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,8.0,2.0,16.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Goff,GoffJa00,2016,LAR,1105.0
2017,23,LAR,NFL,QB,15.0,15.0,11-4-0,296.0,477.0,62.1,3804.0,28.0,5.9,7.0,1.5,177.0,46.6,94.0,8.0,8.49,12.9,253.6,100.5,56.3,25.0,172.0,4.98,7.24,7.72,1.0,1.0,15.0,PB,23,LAR,NFL,QB,15.0,15.0,28.0,51.0,1.0,3.0,25.0,22.0,1.8,3.4,1.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,28.0,1.8,51.0,1.0,8.0,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Goff,GoffJa00,2016,LAR,3855.0
2018,24,LAR,NFL,QB,16.0,16.0,13-3-0,364.0,561.0,64.9,4688.0,32.0,5.7,12.0,2.1,233.0,50.7,70.0,8.4,8.53,12.9,293.0,101.1,63.6,33.0,223.0,5.56,7.52,7.69,4.0,4.0,18.0,PB,24,LAR,NFL,QB,16.0,16.0,43.0,108.0,2.0,9.0,32.6,16.0,2.5,6.8,2.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,43.0,2.5,108.0,2.0,12.0,PB,24,LAR,NFL,QB,16.0,16.0,364.0,561.0,4865.0,8.7,2562.0,7.0,4.6,2126.0,5.8,0.0,29.0,2.0,13.0,2.5,93.0,17.5,,,2.6,151.0,66.0,34.0,133.0,21.7,18.0,6.2,,,,,,,,,PB,Jared Goff,GoffJa00,2016,LAR,4796.0
2019,25,LAR,NFL,QB,16.0,16.0,9-7-0,394.0,626.0,62.9,4638.0,22.0,3.5,16.0,2.6,220.0,47.7,66.0,7.4,6.96,11.8,289.9,86.5,50.6,22.0,170.0,3.4,6.9,6.46,1.0,2.0,12.0,,25,LAR,NFL,QB,16.0,16.0,33.0,40.0,2.0,5.0,30.3,8.0,1.2,2.5,2.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,33.0,1.2,40.0,2.0,10.0,,25,LAR,NFL,QB,16.0,16.0,394.0,626.0,4825.0,7.7,2388.0,6.1,3.8,2250.0,5.7,17.0,15.0,1.0,27.0,4.4,123.0,20.2,437.0,71.6,2.6,219.0,52.0,48.0,122.0,18.5,10.0,3.8,2.0,3.0,0.0,0.0,2.0,3.0,182.0,1564.0,,Jared Goff,GoffJa00,2016,LAR,4678.0
2020,26,LAR,NFL,QB,15.0,15.0,9-6-0,370.0,552.0,67.0,3952.0,20.0,3.6,13.0,2.4,194.0,51.8,56.0,7.2,6.82,10.7,263.5,90.0,50.8,23.0,161.0,4.0,6.59,6.27,0.0,1.0,10.0,,26,LAR,NFL,QB,15.0,15.0,51.0,99.0,4.0,12.0,37.3,10.0,1.9,6.6,3.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,51.0,1.9,99.0,4.0,7.0,,26,LAR,NFL,QB,15.0,15.0,370.0,552.0,3579.0,6.5,1800.0,4.9,3.3,2152.0,5.8,6.0,24.0,2.0,27.0,5.1,84.0,16.0,413.0,78.5,2.5,185.0,42.0,54.0,119.0,19.9,22.0,4.5,2.0,11.0,0.0,0.0,2.0,11.0,172.0,1384.0,,Jared Goff,GoffJa00,2016,LAR,4051.0
2021,27,DET,NFL,QB,14.0,14.0,3-10-1,332.0,494.0,67.2,3245.0,19.0,3.8,8.0,1.6,162.0,46.9,63.0,6.6,6.61,9.8,231.8,91.5,45.5,35.0,280.0,6.62,5.6,5.64,2.0,2.0,10.0,,27,DET,NFL,QB,14.0,14.0,17.0,87.0,0.0,4.0,29.4,26.0,5.1,6.2,1.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,17.0,5.1,87.0,0.0,9.0,,27,DET,NFL,QB,14.0,14.0,332.0,494.0,3150.0,6.4,1490.0,4.5,3.0,1755.0,5.3,5.0,21.0,5.0,21.0,4.5,77.0,16.5,375.0,80.1,2.4,110.0,50.0,48.0,133.0,24.6,11.0,6.1,24.0,191.0,22.0,174.0,1.0,17.0,79.0,647.0,,Jared Goff,GoffJa00,2016,LAR,3332.0
2022,28,DET,NFL,QB,17.0,17.0,9-8-0,382.0,587.0,65.1,4438.0,29.0,4.9,7.0,1.2,227.0,50.3,81.0,7.6,8.01,11.6,261.1,99.3,63.3,23.0,156.0,3.77,7.02,7.45,3.0,3.0,16.0,"PB,AP CPoY-6",28,DET,NFL,QB,17.0,17.0,29.0,73.0,0.0,5.0,24.1,14.0,2.5,4.3,1.7,1.0,1.0,5.0,5.0,0.0,0.0,100.0,5.0,0.1,0.3,100.0,5.0,30.0,2.6,78.0,0.0,7.0,"PB,AP CPoY-6",28,DET,NFL,QB,17.0,17.0,382.0,587.0,4106.0,7.0,2151.0,5.6,3.7,2287.0,6.0,11.0,27.0,1.0,34.0,6.1,94.0,16.8,426.0,76.2,2.4,186.0,43.0,53.0,119.0,19.1,14.0,4.6,20.0,108.0,20.0,108.0,0.0,0.0,154.0,1445.0,"PB,AP CPoY-6",Jared Goff,GoffJa00,2016,LAR,4511.0
2023,29,DET,NFL,QB,17.0,17.0,12-5-0,407.0,605.0,67.3,4575.0,30.0,5.0,12.0,2.0,227.0,50.9,70.0,7.6,7.66,11.2,269.1,97.9,60.3,30.0,197.0,4.72,6.89,6.99,2.0,3.0,16.0,,29,DET,NFL,QB,17.0,17.0,32.0,21.0,2.0,5.0,21.9,11.0,0.7,1.2,1.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,32.0,0.7,21.0,2.0,6.0,,29,DET,NFL,QB,17.0,17.0,407.0,605.0,4064.0,6.7,2428.0,6.0,4.0,2147.0,5.3,14.0,27.0,4.0,35.0,6.1,87.0,15.2,461.0,80.3,2.3,212.0,42.0,69.0,141.0,22.0,7.0,4.4,23.0,189.0,22.0,186.0,1.0,3.0,151.0,1415.0,,Jared Goff,GoffJa00,2016,LAR,4596.0
2024,30,DET,NFL,QB,17.0,17.0,15-2-0,390.0,539.0,72.4,4629.0,37.0,6.9,12.0,2.2,236.0,54.7,82.0,8.6,8.96,11.9,272.3,111.8,68.4,31.0,234.0,5.44,7.71,8.06,4.0,4.0,18.0,"PB,AP MVP-5,AP OPoY-9",30,DET,NFL,QB,17.0,17.0,35.0,56.0,0.0,9.0,34.3,10.0,1.6,3.3,2.1,1.0,1.0,7.0,7.0,1.0,1.0,100.0,7.0,0.1,0.4,100.0,7.0,36.0,1.8,63.0,1.0,6.0,"PB,AP MVP-5,AP OPoY-9",30,DET,NFL,QB,17.0,17.0,390.0,539.0,3390.0,6.3,1994.0,5.1,3.7,2635.0,6.8,4.0,24.0,3.0,11.0,2.1,69.0,13.5,412.0,80.5,2.3,143.0,34.0,57.0,122.0,20.9,14.0,4.9,14.0,94.0,12.0,91.0,1.0,3.0,203.0,2060.0,"PB,AP MVP-5,AP OPoY-9",Jared Goff,GoffJa00,2016,LAR,4685.0
