season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 30_level_0_Fmb,Rush_Unnamed: 31_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2007,22,OAK,NFL,QB,4,1,0-1-0,36,66,54.5,373,2,3.0,4,6.1,17,36.1,32,5.7,3.53,10.4,93.3,55.9,19.8,6,40,8.33,4.63,2.68,0,0,1,,22,OAK,NFL,QB,4,1,5,4,0,0,20.0,7,0.8,1.0,1.3,0,0,0,0,0,,0.0,0.0,,,5,0.8,4,0,4,,JaMarcus Russell,RussJa00,2007,OAK,377
2008,23,OAK,NFL,QB,15,15,5-10-0,198,368,53.8,2423,13,3.5,8,2.2,110,38.1,84,6.6,6.31,12.2,161.5,77.1,29.2,31,210,7.77,5.55,5.3,1,2,7,,23,OAK,NFL,QB,15,15,17,127,1,11,70.6,24,7.5,8.5,1.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17,7.5,127,1,12,,JaMarcus Russell,RussJa00,2007,OAK,2550
2009,24,OAK,NFL,QB,12,9,2-7-0,120,246,48.8,1287,3,1.2,11,4.5,58,28.3,86,5.2,3.46,10.7,107.3,50.0,20.7,33,207,11.83,3.87,2.31,2,2,-2,,24,OAK,NFL,QB,12,9,18,44,0,9,55.6,15,2.4,3.7,1.5,0,0,0,0,0,,0.0,0.0,,,18,2.4,44,0,9,,JaMarcus Russell,RussJa00,2007,OAK,1331
