season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2011,23,MIN,NFL,QB,11,10,2-8-0,158,291,54.3,1853,13,4.5,13,4.5,92,36.4,72,6.4,5.25,11.7,168.5,70.1,32.4,30,164,9.35,5.26,4.25,0,1,5,,23,MIN,NFL,QB,11,10,28,219,0,14,64.3,28,7.8,19.9,2.5,0,0,0,,0,0,,,0.0,0.0,,,28,7.8,219,0,6,,Christian Ponder,PondCh00,2011,MIN,2072
2012,24,MIN,NFL,QB,16,16,10-6-0,300,483,62.1,2935,18,3.7,12,2.5,166,43.9,65,6.1,5.7,9.8,183.4,81.2,52.1,32,184,6.21,5.34,4.99,1,2,11,,24,MIN,NFL,QB,16,16,60,253,2,12,33.3,29,4.2,15.8,3.8,1,1,-15,-15.0,0,0,0.0,-15.0,0.1,-0.9,100.0,-15.0,61,3.9,238,2,7,,Christian Ponder,PondCh00,2011,MIN,3188
2013,25,MIN,NFL,QB,9,9,2-6-1,152,239,63.6,1648,7,2.9,9,3.8,83,42.5,47,6.9,5.79,10.8,183.1,77.9,42.2,27,119,10.15,5.75,4.75,1,0,6,,25,MIN,NFL,QB,9,9,34,151,4,12,41.2,19,4.4,16.8,3.8,0,0,0,,0,0,,,0.0,0.0,,,34,4.4,151,4,7,,Christian Ponder,PondCh00,2011,MIN,1799
2014,26,MIN,NFL,QB,2,1,0-1-0,22,44,50.0,222,0,0.0,2,4.5,13,34.0,18,5.0,3.0,10.1,111.0,45.8,8.4,6,34,12.0,3.76,1.96,0,0,1,,26,MIN,NFL,QB,2,1,4,16,1,2,50.0,8,4.0,8.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,4,4.0,16,1,0,,Christian Ponder,PondCh00,2011,MIN,238
