season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 30_level_0_Fmb,Rush_Unnamed: 31_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2004,25,CIN,NFL,QB,13.0,13.0,6-7-0,263.0,432.0,60.9,2897.0,18.0,4.2,18.0,4.2,140.0,43.1,76.0,6.7,5.66,11.0,222.8,77.3,,25.0,178.0,5.47,5.95,4.96,2.0,3.0,8.0,,25,CIN,NFL,QB,13.0,13.0,18.0,47.0,1.0,5.0,38.9,14.0,2.6,3.6,1.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,18.0,2.6,47.0,1.0,2.0,,Carson Palmer,PalmCa00,2003,CIN,2944.0
2005,26,CIN,NFL,QB,16.0,16.0,11-5-0,345.0,509.0,67.8,3836.0,32.0,6.3,12.0,2.4,198.0,50.9,70.0,7.5,7.73,11.1,239.8,101.1,,19.0,105.0,3.6,7.07,7.26,1.0,3.0,16.0,"PB,AP MVP-5,AP OPoY-4",26,CIN,NFL,QB,16.0,16.0,34.0,41.0,1.0,6.0,29.4,14.0,1.2,2.6,2.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,34.0,1.2,41.0,1.0,5.0,"PB,AP MVP-5,AP OPoY-4",Carson Palmer,PalmCa00,2003,CIN,3877.0
2006,27,CIN,NFL,QB,16.0,16.0,8-8-0,324.0,520.0,62.3,4035.0,28.0,5.4,13.0,2.5,200.0,48.2,74.0,7.8,7.71,12.5,252.2,93.9,67.1,36.0,233.0,6.47,6.84,6.79,2.0,3.0,14.0,"PB,AP CPoY-3",27,CIN,NFL,QB,16.0,16.0,26.0,37.0,0.0,6.0,34.6,11.0,1.4,2.3,1.6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,26.0,1.4,37.0,0.0,15.0,"PB,AP CPoY-3",Carson Palmer,PalmCa00,2003,CIN,4072.0
2007,28,CIN,NFL,QB,16.0,16.0,7-9-0,373.0,575.0,64.9,4131.0,26.0,4.5,20.0,3.5,213.0,51.0,70.0,7.2,6.52,11.1,258.2,86.7,62.5,17.0,119.0,2.87,6.78,6.14,2.0,2.0,14.0,,28,CIN,NFL,QB,16.0,16.0,24.0,10.0,0.0,3.0,16.7,10.0,0.4,0.6,1.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,24.0,0.4,10.0,0.0,5.0,,Carson Palmer,PalmCa00,2003,CIN,4141.0
2008,29,CIN,NFL,QB,4.0,4.0,0-4-0,75.0,129.0,58.1,731.0,3.0,2.3,4.0,3.1,41.0,40.0,36.0,5.7,4.74,9.7,182.8,69.0,65.0,11.0,67.0,7.86,4.74,3.89,0.0,0.0,2.0,,29,CIN,NFL,QB,4.0,4.0,6.0,38.0,0.0,2.0,66.7,15.0,6.3,9.5,1.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,6.3,38.0,0.0,2.0,,Carson Palmer,PalmCa00,2003,CIN,769.0
2009,30,CIN,NFL,QB,16.0,16.0,10-6-0,282.0,466.0,60.5,3094.0,21.0,4.5,13.0,2.8,159.0,46.3,73.0,6.6,6.29,11.0,193.4,83.6,58.6,26.0,213.0,5.28,5.86,5.52,3.0,5.0,10.0,,30,CIN,NFL,QB,16.0,16.0,39.0,93.0,3.0,13.0,41.0,15.0,2.4,5.8,2.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,39.0,2.4,93.0,3.0,6.0,,Carson Palmer,PalmCa00,2003,CIN,3187.0
2010,31,CIN,NFL,QB,16.0,16.0,4-12-0,362.0,586.0,61.8,3970.0,26.0,4.4,20.0,3.4,206.0,48.4,78.0,6.8,6.13,11.0,248.1,82.4,55.1,26.0,201.0,4.25,6.16,5.54,1.0,1.0,11.0,,31,CIN,NFL,QB,16.0,16.0,32.0,50.0,0.0,6.0,31.3,9.0,1.6,3.1,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,32.0,1.6,50.0,0.0,7.0,,Carson Palmer,PalmCa00,2003,CIN,4020.0
2011,32,OAK,NFL,QB,10.0,9.0,4-5-0,199.0,328.0,60.7,2753.0,13.0,4.0,16.0,4.9,123.0,47.2,78.0,8.4,6.99,13.8,275.3,80.5,53.5,17.0,119.0,4.93,7.63,6.3,0.0,1.0,8.0,,32,OAK,NFL,QB,10.0,9.0,16.0,20.0,1.0,5.0,31.3,10.0,1.3,2.0,1.6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,16.0,1.3,20.0,1.0,2.0,,Carson Palmer,PalmCa00,2003,CIN,2773.0
2012,33,OAK,NFL,QB,15.0,15.0,4-11-0,345.0,565.0,61.1,4018.0,22.0,3.9,14.0,2.5,188.0,44.0,64.0,7.1,6.78,11.6,267.9,85.3,46.6,26.0,199.0,4.4,6.46,6.14,2.0,2.0,10.0,,33,OAK,NFL,QB,15.0,15.0,18.0,36.0,1.0,7.0,50.0,9.0,2.0,2.4,1.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,18.0,2.0,36.0,1.0,7.0,,Carson Palmer,PalmCa00,2003,CIN,4054.0
2013,34,ARI,NFL,QB,16.0,16.0,10-6-0,362.0,572.0,63.3,4274.0,24.0,4.2,22.0,3.8,205.0,46.5,91.0,7.5,6.58,11.8,267.1,83.9,54.0,41.0,289.0,6.69,6.5,5.67,3.0,4.0,11.0,,34,ARI,NFL,QB,16.0,16.0,27.0,3.0,0.0,1.0,3.7,10.0,0.1,0.2,1.7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,27.0,0.1,3.0,0.0,6.0,,Carson Palmer,PalmCa00,2003,CIN,4277.0
