target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,0,2008,2008,3291.4728961341957,5.463759667032255,15.566054624186574,45.37758966384241,True,2013.0
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,1,2009,2008,3821.91663749226,6.30807251908397,23.186974487099395,40.3944122953098,True,2013.0
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,2,2010,2008,3849.762028049787,6.572903794986696,27.41321722533701,38.12267039166561,True,2013.0
BortBl00,Blake Bortles,FlacJo00,Joe Flacco,comp,9.0,,4,3,2011,2008,3830.837075189576,5.851190675834313,21.780399962088893,44.48443385027333,True,2013.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,0,2021,2021,4007.064900884842,4.567234030897338,12.230718055617164,53.0630545055709,True,2024.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,1,2022,2021,4427.6201483670775,6.686581012000766,25.31840116343124,61.52664203338662,True,2024.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,2,2023,2021,4366.647437775913,5.991909750641131,21.132882291119305,47.8097024080632,True,2024.0
BortBl00,Blake Bortles,LawrTr00,Trevor Lawrence,comp,,19.0,4,3,2024,2021,2164.0,5.99,11.0,57.7,True,2024.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,0,2018,2018,1926.8374601911655,6.062297941524979,6.235240916182418,55.98648719116955,True,2023.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,1,2019,2018,4391.569570871261,8.2722108244871,37.16856860454671,62.649981092426806,True,2023.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,2,2020,2018,3802.571366487232,6.753695622341158,26.670817989063707,54.857275272574455,True,2023.0
BortBl00,Blake Bortles,JackLa00,Lamar Jackson,comp,16.0,,4,3,2021,2018,3678.435175680198,5.814672400569739,16.30762407415622,59.02872335530964,True,2023.0
