stat,lower_bound,average,upper_bound,year_relative
Pass_ANY/A,4.8993327243224565,5.139571428571428,5.3798101328204,Y-0
Pass_ANY/A,5.240371933685712,5.401764705882353,5.563157478078993,Y-1
Pass_ANY/A,5.549932846769973,5.7479661016949155,5.945999356619858,Y-2
Pass_ANY/A,4.751221472077778,5.2565625,5.761903527922223,Y-3
Pass_ANY/A,4.891228594365737,5.068552631578947,5.245876668792157,Y-4
Pass_ANY/A,5.1063516533399,5.3847499999999995,5.663148346660099,Y-5
Pass_ANY/A_adj,5.000778469969433,5.248441360544231,5.496104251119029,Y-0
Pass_ANY/A_adj,5.352597110463911,5.515665548610786,5.678733986757662,Y-1
Pass_ANY/A_adj,5.668785233468417,5.868349491317186,6.067913749165956,Y-2
Pass_ANY/A_adj,4.848366134069979,5.361211449875214,5.87405676568045,Y-3
Pass_ANY/A_adj,4.9585109462891,5.138527167367994,5.318543388446888,Y-4
Pass_ANY/A_adj,5.200411549860638,5.48309878905525,5.765786028249861,Y-5
Pass_Cmp%,57.09778712732904,57.83428571428571,58.570784301242384,Y-0
Pass_Cmp%,58.08084292278657,58.79264705882353,59.50445119486049,Y-1
Pass_Cmp%,61.37048815974103,62.081355932203394,62.79222370466576,Y-2
Pass_Cmp%,58.93965650927231,60.325,61.710343490727695,Y-3
Pass_Cmp%,58.300789463209014,59.40263157894737,60.50447369468573,Y-4
Pass_Cmp%,58.30240979565146,60.067499999999995,61.832590204348534,Y-5
Pass_Cmp%_adj,61.087420749089915,61.70942395739501,62.331427165700106,Y-0
Pass_Cmp%_adj,61.76879188496682,62.449410407486766,63.130028930006716,Y-1
Pass_Cmp%_adj,65.17913506271483,65.89141657500602,66.6036980872972,Y-2
Pass_Cmp%_adj,62.18220492821935,63.62868523916209,65.07516555010483,Y-3
Pass_Cmp%_adj,60.559999864817236,61.700940690976864,62.84188151713649,Y-4
Pass_Cmp%_adj,61.40269327483347,63.23972844744096,65.07676362004845,Y-5
Pass_QBR,44.369321820621394,46.37894736842105,48.38857291622071,Y-0
Pass_QBR,47.85851677957861,49.93818181818182,52.01784685678503,Y-1
Pass_QBR,48.61016209584062,51.356,54.10183790415938,Y-2
Pass_QBR,49.70827619484855,52.208,54.707723805151446,Y-3
Pass_QBR,48.949126833997084,51.56829268292683,54.18745853185658,Y-4
Pass_QBR,48.2920811290219,51.753846153846155,55.21561117867041,Y-5
Pass_QBR_adj,45.022761963215224,47.06238443559552,49.10200690797581,Y-0
Pass_QBR_adj,48.56358415271679,50.66953702722683,52.77548990173687,Y-1
Pass_QBR_adj,49.36584434424793,52.144835462155385,54.92382658006284,Y-2
Pass_QBR_adj,50.48381439133904,53.028632964503664,55.57345153766829,Y-3
Pass_QBR_adj,49.70259921594826,52.34619818730295,54.989797158657645,Y-4
Pass_QBR_adj,49.07225047297563,52.590804426399444,56.109358379823256,Y-5
Pass_Rate,76.27179360062706,78.20571428571428,80.1396349708015,Y-0
Pass_Rate,79.20915347254696,80.88382352941177,82.55849358627658,Y-1
Pass_Rate,83.75952355844522,85.6135593220339,87.46759508562256,Y-2
