stat,lower_bound,average,upper_bound,year_relative
Pass_Rate,81.65363236882784,84.11875,86.58386763117217,Y-3
Pass_Rate,78.41052464366223,80.12236842105263,81.83421219844303,Y-4
Pass_Rate,80.41145783190947,82.925,85.43854216809052,Y-5
Pass_Rate_adj,82.65731019832708,84.54709715026198,86.43688410219687,Y-0
Pass_Rate_adj,86.51850095679578,88.24889709335291,89.97929322991004,Y-1
Pass_Rate_adj,91.62958350438103,93.56411593862654,95.49864837287205,Y-2
Pass_Rate_adj,88.52080416805623,91.1818373686894,93.84287056932257,Y-3
Pass_Rate_adj,83.06572243349271,84.88770802326465,86.70969361303659,Y-4
Pass_Rate_adj,86.94516599292089,89.61225539669731,92.27934480047372,Y-5
Pass_Succ%,40.324967043244946,40.925714285714285,41.526461528183624,Y-0
Pass_Succ%,41.09210107516421,41.78823529411765,42.48436951307109,Y-1
Pass_Succ%,43.57528926081565,44.332203389830504,45.089117518845356,Y-2
Pass_Succ%,43.81282873893007,44.48253968253968,45.15225062614929,Y-3
Pass_Succ%,40.50785736311238,41.232,41.95614263688762,Y-4
Pass_Succ%,43.23454609141472,44.09473684210526,44.954927592795805,Y-5
Pass_TD,10.719268024841192,11.642857142857142,12.566446260873093,Y-0
Pass_TD,14.370949870751371,15.661764705882353,16.952579541013336,Y-1
Pass_TD,15.342680165838633,16.779661016949152,18.21664186805967,Y-2
Pass_TD,12.81777424470531,14.140625,15.46347575529469,Y-3
Pass_TD,10.971070324557315,12.210526315789474,13.449982307021633,Y-4
Pass_TD,11.362023776903346,13.15,14.937976223096655,Y-5
Pass_TD_adj,11.40679809821407,12.364557207670154,13.322316317126239,Y-0
Pass_TD_adj,15.340571970849016,16.687211056233842,18.033850141618668,Y-1
Pass_TD_adj,16.41860070709873,17.94753719775836,19.476473688417993,Y-2
Pass_TD_adj,13.6477613579089,15.050211828899144,16.45266229988939,Y-3
Pass_TD_adj,11.532525566683042,12.842021777581131,14.15151798847922,Y-4
Pass_TD_adj,12.016243775298152,13.891060917845508,15.765878060392863,Y-5
Pass_Yds,2011.2197275953968,2163.3,2315.3802724046036,Y-0
Pass_Yds,2370.5133539334306,2529.323529411765,2688.133704890099,Y-1
Pass_Yds,2487.826303729001,2676.9830508474574,2866.1397979659137,Y-2
Pass_Yds,2120.2814442809226,2307.859375,2495.4373057190774,Y-3
Pass_Yds,1902.8052482499747,2063.2236842105262,2223.6421201710777,Y-4
Pass_Yds,1890.6377797061234,2153.878048780488,2417.1183178548526,Y-5
Rush_Rushing_Succ%,41.67471366720972,43.836231884057966,45.99775010090621,Y-0
Rush_Rushing_Succ%,43.43783881445773,45.09264705882353,46.747455303189334,Y-1
Rush_Rushing_Succ%,40.06079048403169,41.83620689655172,43.61162330907175,Y-2
Rush_Rushing_Succ%,39.22428997797823,41.22380952380952,43.22332906964081,Y-3
Rush_Rushing_Succ%,38.20960296286316,39.87733333333333,41.54506370380351,Y-4
Rush_Rushing_Succ%,40.568517563044345,44.266666666666666,47.964815770288986,Y-5
Rush_Rushing_Succ%_adj,49.204343316449794,51.87060196010521,54.53686060376063,Y-0
Rush_Rushing_Succ%_adj,51.71971539698829,53.7377128860584,55.7557103751285,Y-1
Rush_Rushing_Succ%_adj,47.714158505095725,49.80692323643757,51.899687967779414,Y-2
Rush_Rushing_Succ%_adj,45.74049055093489,48.00675968311724,50.27302881529959,Y-3
Rush_Rushing_Succ%_adj,43.175763528986735,45.28670760882776,47.39765168866879,Y-4
Rush_Rushing_Succ%_adj,47.49131918569054,52.09817876636253,56.70503834703452,Y-5
Rush_Rushing_Yds,181.56552666625905,206.0142857142857,230.46304476231236,Y-0
Rush_Rushing_Yds,203.3100040520295,234.5,265.6899959479705,Y-1
Rush_Rushing_Yds,156.55175950488973,179.91525423728814,203.27874896968655,Y-2
Rush_Rushing_Yds,146.43455211593644,171.78125,197.12794788406356,Y-3
Rush_Rushing_Yds,112.75869107443212,131.3684210526316,149.97815103083104,Y-4
Rush_Rushing_Yds,122.11206817350791,157.58536585365854,193.05866353380918,Y-5
total_yards,2204.630562811338,2369.3142857142857,2533.998008617233,Y-0
total_yards,2591.005781265733,2763.823529411765,2936.641277557797,Y-1
total_yards,2658.2821565559602,2856.898305084746,3055.5144536135317,Y-2
total_yards,2280.41306984328,2479.640625,2678.86818015672,Y-3
total_yards,2024.6381691121994,2194.592105263158,2364.546041414116,Y-4
total_yards,2030.9027779605672,2311.4634146341464,2592.0240513077256,Y-5
total_yards_adj,2261.5875069709405,2429.2605487765118,2596.933590582083,Y-0
total_yards_adj,2662.0329374678686,2838.1530681197764,3014.2731987716843,Y-1
total_yards_adj,2732.4073245733016,2935.443901122757,3138.480477672212,Y-2
total_yards_adj,2338.8646902880114,2542.4386253326097,2746.012560377208,Y-3
total_yards_adj,2065.5368883783667,2239.690240233868,2413.843592089369,Y-4
total_yards_adj,2078.7956488848454,2364.91191076881,2651.028172652774,Y-5
