target_qb_id,target_qb_name,decision_year,metric,n_comps,payment_rate_pct,comps_paid,comps_not_paid,is_projection
MayeDr00,Drake Maye,2,total_yards_adj,10,70.0,7,3,True
MayeDr00,Drake Maye,2,Pass_ANY/A_adj,10,50.0,5,5,True
