target_qb_id,target_qb_name,decision_year,metric,n_comps,payment_rate_pct,comps_paid,comps_not_paid
NewtCa00,Cam Newton,4,total_yards_adj,5,60.0,3,2
NewtCa00,Cam Newton,4,Pass_ANY/A_adj,5,60.0,3,2
