Component,Correlation_with_Wins,P_Value,Variance_Explained_%,Significant
PC1,0.6128495646798261,1.730496449930392e-34,28.27099508860927,Yes
PC2,0.10647276983257897,0.056702799502710566,21.894010060099525,No
PC3,-0.11341333128934888,0.04229598687028563,8.977882690617719,Yes
PC4,0.024907247417910776,0.6566246425793639,8.872301870897697,No
PC5,-0.14410699944511962,0.009728724926187258,5.197274786512838,Yes
