Decision_Year,Performance_Year,Weight_%,Coefficient
3,Year 0,7.985338287592107,0.017675769674074544
3,Year 1,21.40140807073119,0.047372615427817115
3,Year 2,70.61325364167669,0.15630441220589128
4,Year 0,13.574378619527147,0.0412311303451618
4,Year 1,7.875849712446084,0.023922287360221083
4,Year 2,18.63244498277792,0.056594617644511624
4,Year 3,59.91732668524885,0.1819942684477143
5,Year 0,16.13843950531274,0.053989684920756585
5,Year 1,3.490443400805753,0.01167696166542001
5,Year 2,3.8561113987623505,0.01290027077091199
5,Year 3,29.731430969908544,0.0994638044019164
5,Year 4,46.78357472521061,0.15651020397909568
6,Year 0,15.948161017807431,0.051405490676102464
6,Year 1,0.7831126764132246,-0.002524196447524465
6,Year 2,0.5997046053347153,0.0019330197044993027
6,Year 3,20.1603750767988,0.0649826630092294
6,Year 4,32.50796956387023,0.10478249651785224
6,Year 5,30.000677059775587,0.0967007746630513
