Decision_Year,Performance_Year,Weight_%,Coefficient
3,Year 0,22.439124236781936,0.05133552660132036
3,Year 1,44.25832591873656,0.10125281377099969
3,Year 2,33.30254984448151,0.07618853193168815
4,Year 0,27.79333115774208,0.06499447216159378
4,Year 1,37.703011839551735,0.08816817744897702
4,Year 2,25.360485219340394,0.05930528230811885
4,Year 3,9.14317178336579,-0.02138123064737788
5,Year 0,17.85937590834674,0.045910385749854794
5,Year 1,9.357243734595077,0.024054293476733248
5,Year 2,14.197644725827944,0.036497319360276115
5,Year 3,9.277951360483582,-0.023850459731301014
5,Year 4,49.30778427074666,0.12675355555300355
6,Year 0,19.945794632137687,0.03626577949890492
6,Year 1,14.56259571199459,0.026477956620086413
6,Year 2,6.518654661920337,0.011852327618865842
6,Year 3,1.3701494383052653,0.0024912287690992694
6,Year 4,53.180248753151446,0.09669322333597116
6,Year 5,4.422556802490664,-0.008041167212364853
