Decision_Year,Performance_Year,Weight_%,Coefficient
3,Year 0,8.366679668351791,0.018445904070119652
3,Year 1,21.704774245840177,0.047852218499150695
3,Year 2,69.92854608580802,0.15417050777514246
4,Year 0,13.938179123483676,0.04267926544417411
4,Year 1,8.413208923577486,0.025761584329310357
4,Year 2,17.966809323811482,0.055015093257329145
4,Year 3,59.681802629127354,0.18274808165607068
5,Year 0,16.404027415147898,0.055230692897690295
5,Year 1,4.183754031047421,0.01408627455931197
5,Year 2,3.6838848688379775,0.012403265900016421
5,Year 3,29.433038024814806,0.09909804726938339
5,Year 4,46.2952956601519,0.1558715547410325
6,Year 0,16.407884253296274,0.05275117074814361
6,Year 1,0.019033670449679435,-6.119304502365845e-05
6,Year 2,0.7275553388180294,0.002339082560202915
6,Year 3,20.68383854328999,0.0664983176307407
6,Year 4,32.30935593521133,0.1038742305461158
6,Year 5,29.852332258934684,0.09597492595092019
