Variable,Coefficient,Std_Coefficient,Abs_Std_Coefficient,Partial_R2,Partial_R2_%
Pass_ANY/A,1.1093269308911915,1.3173202735526348,1.3173202735526348,0.05046015400284376,5.046015400284376
Pass_TD,0.11348053446184606,0.976875824264585,0.976875824264585,0.024321754266871887,2.4321754266871887
total_yards,-0.0005379764413826789,-0.4905889612719596,0.4905889612719596,0.008084655183896672,0.8084655183896672
Rush_Rushing_Succ%,-0.022939453674041013,-0.30888990426662893,0.30888990426662893,0.010924231665704887,1.0924231665704887
Pass_Succ%,-0.020573010247706344,-0.09609544001987402,0.09609544001987402,0.0003071887857744038,0.03071887857744038
