target_qb_id,target_qb_name,decision_year,metric,n_comps,payment_rate_pct,comps_paid,comps_not_paid,is_projection
MahoPa00,Patrick Mahomes,4,total_yards_adj,10,80.0,8,2,False
MahoPa00,Patrick Mahomes,4,Pass_ANY/A_adj,10,90.0,9,1,False
