target_qb_id,target_qb_name,decision_year,metric,n_comps,payment_rate_pct,comps_paid,comps_not_paid
FreeJo00,Josh Freeman,4,total_yards_adj,5,80.0,4,1
FreeJo00,Josh Freeman,4,Pass_ANY/A_adj,5,60.0,3,2
