year,Pass_ANY/A_adj,payment_probability,decision_year,k_value,metric_name
0.0,-20.535723161033793,20.0,5,10,Pass_ANY/A_adj
0.0,-20.166927334705562,20.0,5,10,Pass_ANY/A_adj
0.0,-19.79813150837733,20.0,5,10,Pass_ANY/A_adj
0.0,-19.4293356820491,20.0,5,10,Pass_ANY/A_adj
0.0,-19.060539855720872,20.0,5,10,Pass_ANY/A_adj
0.0,-18.69174402939264,20.0,5,10,Pass_ANY/A_adj
0.0,-18.32294820306441,20.0,5,10,Pass_ANY/A_adj
0.0,-17.95415237673618,20.0,5,10,Pass_ANY/A_adj
0.0,-17.585356550407948,20.0,5,10,Pass_ANY/A_adj
0.0,-17.216560724079716,20.0,5,10,Pass_ANY/A_adj
0.0,-16.847764897751485,20.0,5,10,Pass_ANY/A_adj
0.0,-16.478969071423258,20.0,5,10,Pass_ANY/A_adj
0.0,-16.110173245095027,20.0,5,10,Pass_ANY/A_adj
0.0,-15.741377418766795,20.0,5,10,Pass_ANY/A_adj
0.0,-15.372581592438564,20.0,5,10,Pass_ANY/A_adj
0.0,-15.003785766110333,20.0,5,10,Pass_ANY/A_adj
0.0,-14.634989939782102,20.0,5,10,Pass_ANY/A_adj
0.0,-14.266194113453873,20.0,5,10,Pass_ANY/A_adj
0.0,-13.897398287125641,20.0,5,10,Pass_ANY/A_adj
0.0,-13.528602460797412,20.0,5,10,Pass_ANY/A_adj
0.0,-13.15980663446918,20.0,5,10,Pass_ANY/A_adj
0.0,-12.79101080814095,20.0,5,10,Pass_ANY/A_adj
0.0,-12.422214981812719,20.0,5,10,Pass_ANY/A_adj
0.0,-12.053419155484487,20.0,5,10,Pass_ANY/A_adj
0.0,-11.684623329156258,20.0,5,10,Pass_ANY/A_adj
0.0,-11.315827502828027,20.0,5,10,Pass_ANY/A_adj
0.0,-10.947031676499796,20.0,5,10,Pass_ANY/A_adj
0.0,-10.578235850171566,20.0,5,10,Pass_ANY/A_adj
0.0,-10.209440023843335,20.0,5,10,Pass_ANY/A_adj
0.0,-9.840644197515104,20.0,5,10,Pass_ANY/A_adj
0.0,-9.471848371186873,20.0,5,10,Pass_ANY/A_adj
