year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.0,-5.472992310801941,35.0,6,20,total_yards_adj
0.0,57.22759721154138,30.0,6,20,total_yards_adj
0.0,119.9281867338847,30.0,6,20,total_yards_adj
0.0,182.62877625622804,30.0,6,20,total_yards_adj
0.0,245.32936577857134,30.0,6,20,total_yards_adj
0.0,308.02995530091465,30.0,6,20,total_yards_adj
0.0,370.730544823258,30.0,6,20,total_yards_adj
0.0,433.4311343456013,30.0,6,20,total_yards_adj
0.0,496.13172386794463,30.0,6,20,total_yards_adj
0.0,558.8323133902879,25.0,6,20,total_yards_adj
0.0,621.5329029126312,25.0,6,20,total_yards_adj
0.0,684.2334924349746,20.0,6,20,total_yards_adj
0.0,746.934081957318,20.0,6,20,total_yards_adj
0.0,809.6346714796613,20.0,6,20,total_yards_adj
0.0,872.3352610020046,20.0,6,20,total_yards_adj
0.0,935.0358505243479,20.0,6,20,total_yards_adj
0.0,997.7364400466912,30.0,6,20,total_yards_adj
0.0,1060.4370295690346,35.0,6,20,total_yards_adj
0.0,1123.137619091378,30.0,6,20,total_yards_adj
0.0,1185.8382086137212,25.0,6,20,total_yards_adj
0.0,1248.5387981360645,30.0,6,20,total_yards_adj
0.0,1311.2393876584078,25.0,6,20,total_yards_adj
0.0,1373.9399771807512,25.0,6,20,total_yards_adj
0.0,1436.6405667030945,25.0,6,20,total_yards_adj
0.0,1499.341156225438,25.0,6,20,total_yards_adj
0.0,1562.0417457477813,25.0,6,20,total_yards_adj
0.0,1624.7423352701246,25.0,6,20,total_yards_adj
0.0,1687.442924792468,25.0,6,20,total_yards_adj
0.0,1750.1435143148112,30.0,6,20,total_yards_adj
0.0,1812.8441038371545,30.0,6,20,total_yards_adj
0.0,1875.5446933594978,30.0,6,20,total_yards_adj
0.0,1938.2452828818411,30.0,6,20,total_yards_adj
0.0,2000.9458724041845,35.0,6,20,total_yards_adj
0.0,2063.6464619265275,40.0,6,20,total_yards_adj
0.0,2126.347051448871,35.0,6,20,total_yards_adj
0.0,2189.047640971214,35.0,6,20,total_yards_adj
0.0,2251.7482304935575,35.0,6,20,total_yards_adj
0.0,2314.4488200159008,35.0,6,20,total_yards_adj
0.0,2377.149409538244,35.0,6,20,total_yards_adj
0.0,2439.8499990605874,35.0,6,20,total_yards_adj
0.0,2502.5505885829307,35.0,6,20,total_yards_adj
0.0,2565.251178105274,35.0,6,20,total_yards_adj
0.0,2627.9517676276173,30.0,6,20,total_yards_adj
0.0,2690.6523571499606,30.0,6,20,total_yards_adj
0.0,2753.352946672304,30.0,6,20,total_yards_adj
0.0,2816.053536194647,35.0,6,20,total_yards_adj
0.0,2878.7541257169905,35.0,6,20,total_yards_adj
0.0,2941.454715239334,40.0,6,20,total_yards_adj
0.0,3004.1553047616776,40.0,6,20,total_yards_adj
0.0,3066.855894284021,45.0,6,20,total_yards_adj
0.0,3129.556483806364,45.0,6,20,total_yards_adj
0.0,3192.2570733287075,45.0,6,20,total_yards_adj
0.0,3254.957662851051,40.0,6,20,total_yards_adj
0.0,3317.658252373394,40.0,6,20,total_yards_adj
0.0,3380.3588418957374,40.0,6,20,total_yards_adj
0.0,3443.0594314180807,40.0,6,20,total_yards_adj
0.0,3505.760020940424,40.0,6,20,total_yards_adj
0.0,3568.4606104627674,40.0,6,20,total_yards_adj
0.0,3631.1611999851107,40.0,6,20,total_yards_adj
0.0,3693.861789507454,40.0,6,20,total_yards_adj
0.0,3756.5623790297973,40.0,6,20,total_yards_adj
0.0,3819.2629685521406,40.0,6,20,total_yards_adj
0.0,3881.963558074484,40.0,6,20,total_yards_adj
0.0,3944.664147596827,45.0,6,20,total_yards_adj
0.0,4007.3647371191705,45.0,6,20,total_yards_adj
0.0,4070.065326641514,45.0,6,20,total_yards_adj
0.0,4132.765916163858,50.0,6,20,total_yards_adj
0.0,4195.466505686201,55.00000000000001,6,20,total_yards_adj
0.0,4258.167095208544,60.0,6,20,total_yards_adj
0.0,4320.867684730888,55.00000000000001,6,20,total_yards_adj
0.0,4383.568274253231,55.00000000000001,6,20,total_yards_adj
0.0,4446.268863775575,65.0,6,20,total_yards_adj
0.0,4508.969453297917,65.0,6,20,total_yards_adj
0.0,4571.670042820261,65.0,6,20,total_yards_adj
0.0,4634.370632342604,70.0,6,20,total_yards_adj
0.0,4697.071221864948,70.0,6,20,total_yards_adj
0.0,4759.771811387291,70.0,6,20,total_yards_adj
0.0,4822.472400909634,70.0,6,20,total_yards_adj
0.0,4885.172990431977,70.0,6,20,total_yards_adj
0.0,4947.873579954321,70.0,6,20,total_yards_adj
0.0,5010.574169476664,70.0,6,20,total_yards_adj
0.0,5073.274758999008,70.0,6,20,total_yards_adj
0.0,5135.9753485213505,70.0,6,20,total_yards_adj
0.0,5198.675938043694,70.0,6,20,total_yards_adj
0.0,5261.376527566037,70.0,6,20,total_yards_adj
0.0,5324.077117088381,70.0,6,20,total_yards_adj
0.0,5386.777706610724,70.0,6,20,total_yards_adj
0.0,5449.4782961330675,70.0,6,20,total_yards_adj
0.0,5512.17888565541,70.0,6,20,total_yards_adj
0.0,5574.879475177754,70.0,6,20,total_yards_adj
0.0,5637.580064700097,70.0,6,20,total_yards_adj
0.0,5700.280654222441,70.0,6,20,total_yards_adj
0.0,5762.981243744784,75.0,6,20,total_yards_adj
0.0,5825.681833267127,75.0,6,20,total_yards_adj
0.0,5888.38242278947,75.0,6,20,total_yards_adj
0.0,5951.083012311814,75.0,6,20,total_yards_adj
0.0,6013.783601834158,80.0,6,20,total_yards_adj
0.0,6076.484191356501,80.0,6,20,total_yards_adj
0.0,6139.184780878844,80.0,6,20,total_yards_adj
0.0,6201.885370401187,80.0,6,20,total_yards_adj
0.1282051282051282,-5.472992310801941,35.0,6,20,total_yards_adj
0.1282051282051282,57.22759721154138,35.0,6,20,total_yards_adj
0.1282051282051282,119.9281867338847,35.0,6,20,total_yards_adj
0.1282051282051282,182.62877625622804,35.0,6,20,total_yards_adj
0.1282051282051282,245.32936577857134,35.0,6,20,total_yards_adj
0.1282051282051282,308.02995530091465,30.0,6,20,total_yards_adj
0.1282051282051282,370.730544823258,30.0,6,20,total_yards_adj
0.1282051282051282,433.4311343456013,30.0,6,20,total_yards_adj
0.1282051282051282,496.13172386794463,30.0,6,20,total_yards_adj
0.1282051282051282,558.8323133902879,30.0,6,20,total_yards_adj
0.1282051282051282,621.5329029126312,25.0,6,20,total_yards_adj
0.1282051282051282,684.2334924349746,20.0,6,20,total_yards_adj
0.1282051282051282,746.934081957318,20.0,6,20,total_yards_adj
0.1282051282051282,809.6346714796613,20.0,6,20,total_yards_adj
0.1282051282051282,872.3352610020046,20.0,6,20,total_yards_adj
0.1282051282051282,935.0358505243479,20.0,6,20,total_yards_adj
0.1282051282051282,997.7364400466912,20.0,6,20,total_yards_adj
0.1282051282051282,1060.4370295690346,25.0,6,20,total_yards_adj
0.1282051282051282,1123.137619091378,30.0,6,20,total_yards_adj
0.1282051282051282,1185.8382086137212,30.0,6,20,total_yards_adj
0.1282051282051282,1248.5387981360645,25.0,6,20,total_yards_adj
0.1282051282051282,1311.2393876584078,25.0,6,20,total_yards_adj
0.1282051282051282,1373.9399771807512,25.0,6,20,total_yards_adj
0.1282051282051282,1436.6405667030945,25.0,6,20,total_yards_adj
0.1282051282051282,1499.341156225438,25.0,6,20,total_yards_adj
0.1282051282051282,1562.0417457477813,25.0,6,20,total_yards_adj
0.1282051282051282,1624.7423352701246,20.0,6,20,total_yards_adj
0.1282051282051282,1687.442924792468,25.0,6,20,total_yards_adj
0.1282051282051282,1750.1435143148112,25.0,6,20,total_yards_adj
0.1282051282051282,1812.8441038371545,25.0,6,20,total_yards_adj
0.1282051282051282,1875.5446933594978,30.0,6,20,total_yards_adj
0.1282051282051282,1938.2452828818411,30.0,6,20,total_yards_adj
0.1282051282051282,2000.9458724041845,30.0,6,20,total_yards_adj
0.1282051282051282,2063.6464619265275,30.0,6,20,total_yards_adj
0.1282051282051282,2126.347051448871,35.0,6,20,total_yards_adj
0.1282051282051282,2189.047640971214,35.0,6,20,total_yards_adj
0.1282051282051282,2251.7482304935575,35.0,6,20,total_yards_adj
0.1282051282051282,2314.4488200159008,35.0,6,20,total_yards_adj
0.1282051282051282,2377.149409538244,35.0,6,20,total_yards_adj
0.1282051282051282,2439.8499990605874,35.0,6,20,total_yards_adj
0.1282051282051282,2502.5505885829307,35.0,6,20,total_yards_adj
0.1282051282051282,2565.251178105274,35.0,6,20,total_yards_adj
0.1282051282051282,2627.9517676276173,30.0,6,20,total_yards_adj
0.1282051282051282,2690.6523571499606,30.0,6,20,total_yards_adj
0.1282051282051282,2753.352946672304,30.0,6,20,total_yards_adj
0.1282051282051282,2816.053536194647,35.0,6,20,total_yards_adj
0.1282051282051282,2878.7541257169905,35.0,6,20,total_yards_adj
0.1282051282051282,2941.454715239334,40.0,6,20,total_yards_adj
0.1282051282051282,3004.1553047616776,40.0,6,20,total_yards_adj
0.1282051282051282,3066.855894284021,45.0,6,20,total_yards_adj
0.1282051282051282,3129.556483806364,45.0,6,20,total_yards_adj
0.1282051282051282,3192.2570733287075,45.0,6,20,total_yards_adj
0.1282051282051282,3254.957662851051,40.0,6,20,total_yards_adj
0.1282051282051282,3317.658252373394,40.0,6,20,total_yards_adj
0.1282051282051282,3380.3588418957374,40.0,6,20,total_yards_adj
0.1282051282051282,3443.0594314180807,40.0,6,20,total_yards_adj
0.1282051282051282,3505.760020940424,40.0,6,20,total_yards_adj
0.1282051282051282,3568.4606104627674,40.0,6,20,total_yards_adj
0.1282051282051282,3631.1611999851107,40.0,6,20,total_yards_adj
0.1282051282051282,3693.861789507454,35.0,6,20,total_yards_adj
0.1282051282051282,3756.5623790297973,35.0,6,20,total_yards_adj
0.1282051282051282,3819.2629685521406,40.0,6,20,total_yards_adj
0.1282051282051282,3881.963558074484,40.0,6,20,total_yards_adj
0.1282051282051282,3944.664147596827,40.0,6,20,total_yards_adj
0.1282051282051282,4007.3647371191705,45.0,6,20,total_yards_adj
0.1282051282051282,4070.065326641514,45.0,6,20,total_yards_adj
0.1282051282051282,4132.765916163858,55.00000000000001,6,20,total_yards_adj
0.1282051282051282,4195.466505686201,55.00000000000001,6,20,total_yards_adj
0.1282051282051282,4258.167095208544,50.0,6,20,total_yards_adj
0.1282051282051282,4320.867684730888,50.0,6,20,total_yards_adj
0.1282051282051282,4383.568274253231,55.00000000000001,6,20,total_yards_adj
0.1282051282051282,4446.268863775575,65.0,6,20,total_yards_adj
0.1282051282051282,4508.969453297917,70.0,6,20,total_yards_adj
0.1282051282051282,4571.670042820261,70.0,6,20,total_yards_adj
0.1282051282051282,4634.370632342604,65.0,6,20,total_yards_adj
0.1282051282051282,4697.071221864948,65.0,6,20,total_yards_adj
0.1282051282051282,4759.771811387291,70.0,6,20,total_yards_adj
0.1282051282051282,4822.472400909634,70.0,6,20,total_yards_adj
0.1282051282051282,4885.172990431977,70.0,6,20,total_yards_adj
0.1282051282051282,4947.873579954321,70.0,6,20,total_yards_adj
0.1282051282051282,5010.574169476664,70.0,6,20,total_yards_adj
0.1282051282051282,5073.274758999008,70.0,6,20,total_yards_adj
0.1282051282051282,5135.9753485213505,70.0,6,20,total_yards_adj
0.1282051282051282,5198.675938043694,70.0,6,20,total_yards_adj
0.1282051282051282,5261.376527566037,70.0,6,20,total_yards_adj
0.1282051282051282,5324.077117088381,70.0,6,20,total_yards_adj
0.1282051282051282,5386.777706610724,70.0,6,20,total_yards_adj
0.1282051282051282,5449.4782961330675,70.0,6,20,total_yards_adj
0.1282051282051282,5512.17888565541,70.0,6,20,total_yards_adj
0.1282051282051282,5574.879475177754,70.0,6,20,total_yards_adj
0.1282051282051282,5637.580064700097,70.0,6,20,total_yards_adj
