year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.0,-2.751372379687639,40.0,5,5,total_yards_adj
0.0,57.90224159857012,40.0,5,5,total_yards_adj
0.0,118.55585557682788,40.0,5,5,total_yards_adj
0.0,179.20946955508563,60.0,5,5,total_yards_adj
0.0,239.8630835333434,60.0,5,5,total_yards_adj
0.0,300.51669751160114,40.0,5,5,total_yards_adj
0.0,361.1703114898589,20.0,5,5,total_yards_adj
0.0,421.82392546811667,20.0,5,5,total_yards_adj
0.0,482.4775394463744,20.0,5,5,total_yards_adj
0.0,543.1311534246322,20.0,5,5,total_yards_adj
0.0,603.78476740289,20.0,5,5,total_yards_adj
0.0,664.4383813811478,0.0,5,5,total_yards_adj
0.0,725.0919953594055,0.0,5,5,total_yards_adj
0.0,785.7456093376633,0.0,5,5,total_yards_adj
0.0,846.3992233159211,0.0,5,5,total_yards_adj
0.0,907.0528372941787,20.0,5,5,total_yards_adj
0.0,967.7064512724365,20.0,5,5,total_yards_adj
0.0,1028.3600652506943,20.0,5,5,total_yards_adj
0.0,1089.013679228952,20.0,5,5,total_yards_adj
0.0,1149.66729320721,20.0,5,5,total_yards_adj
0.0,1210.3209071854676,20.0,5,5,total_yards_adj
0.0,1270.9745211637253,20.0,5,5,total_yards_adj
0.0,1331.6281351419832,20.0,5,5,total_yards_adj
0.0,1392.2817491202409,20.0,5,5,total_yards_adj
0.0,1452.9353630984986,20.0,5,5,total_yards_adj
0.0,1513.5889770767565,20.0,5,5,total_yards_adj
0.0,1574.2425910550141,40.0,5,5,total_yards_adj
0.0,1634.8962050332718,40.0,5,5,total_yards_adj
0.0,1695.5498190115297,40.0,5,5,total_yards_adj
0.0,1756.2034329897874,60.0,5,5,total_yards_adj
0.0,1816.857046968045,60.0,5,5,total_yards_adj
0.0,1877.510660946303,60.0,5,5,total_yards_adj
0.0,1938.1642749245607,60.0,5,5,total_yards_adj
0.0,1998.8178889028184,60.0,5,5,total_yards_adj
0.0,2059.471502881076,60.0,5,5,total_yards_adj
0.0,2120.125116859334,40.0,5,5,total_yards_adj
0.0,2180.7787308375914,20.0,5,5,total_yards_adj
0.0,2241.4323448158493,0.0,5,5,total_yards_adj
0.0,2302.0859587941072,0.0,5,5,total_yards_adj
0.0,2362.7395727723647,20.0,5,5,total_yards_adj
0.0,2423.3931867506226,20.0,5,5,total_yards_adj
0.0,2484.0468007288805,20.0,5,5,total_yards_adj
0.0,2544.700414707138,40.0,5,5,total_yards_adj
0.0,2605.354028685396,40.0,5,5,total_yards_adj
0.0,2666.0076426636538,60.0,5,5,total_yards_adj
0.0,2726.661256641911,60.0,5,5,total_yards_adj
0.0,2787.314870620169,60.0,5,5,total_yards_adj
0.0,2847.968484598427,60.0,5,5,total_yards_adj
0.0,2908.6220985766845,40.0,5,5,total_yards_adj
0.0,2969.2757125549424,40.0,5,5,total_yards_adj
0.0,3029.9293265332003,20.0,5,5,total_yards_adj
0.0,3090.5829405114578,0.0,5,5,total_yards_adj
0.0,3151.2365544897157,0.0,5,5,total_yards_adj
