Decision_Year,Performance_Year,Year_Number,Coefficient,P_Value_Bootstrap,Significant_95,Weight_%,T_Statistic,CI_Lower_95,CI_Upper_95
3,Year 0,0,0.20711646038529422,0.524,False,12.881693484562904,0.3641874618513988,-0.7717536356792563,1.6910377339250597
3,Year 1,1,0.4602202980647805,0.164,False,28.623590824293622,0.8642305428087649,-0.21215220633061646,1.7818902779843697
3,Year 2,2,0.9404988932326589,0.022,True,58.494715691143476,1.9814728767833496,0.16544900297432596,1.974244683664909
4,Year 0,0,0.30192519883247176,0.4,False,15.983758087073205,0.44941118272756103,-0.7111235182792212,2.0545047557414113
4,Year 1,1,0.38933312068040266,0.252,False,20.611086588018683,0.722336521149737,-0.3874867405670455,1.7426633112215955
4,Year 2,2,0.7243956232699941,0.108,False,38.34911576263219,1.3441914894649019,-0.21655233937416274,2.0228897472584166
4,Year 3,3,0.4732960600118591,0.182,False,25.056039562275924,1.0260665111632794,-0.28171124452116203,1.535263678989375
5,Year 0,0,0.36341977820777893,0.39,False,14.071610187810782,0.3900416103015173,-1.1100758620475815,2.7442527458310644
5,Year 1,1,0.36212101795509144,0.438,False,14.02132220377929,0.47957961322087417,-1.0457371569356684,2.0602798579044315
5,Year 2,2,0.5755543104966607,0.23,False,22.28545716241336,0.9443117984367124,-0.5657504027999594,1.9944150259236917
5,Year 3,3,0.39380531477780767,0.292,False,15.248137860766589,0.7360336580903256,-0.536211867603851,1.5942346711106312
5,Year 4,4,0.8877448718680656,0.054,False,34.37347258522998,0.9934153757173178,-0.005788890049567721,3.5149020354425082
6,Year 0,0,0.3838863383513019,0.328,False,12.64695207653969,0.31104635905325073,-0.9877040359846637,3.7223167263571058
6,Year 1,1,0.2896310248703938,0.49,False,9.541755789347492,0.2787523172063669,-1.1714873094370184,3.1394628907546602
6,Year 2,2,0.629448462219404,0.414,False,20.736878969252352,0.7276368464762819,-1.317260651276026,2.323809611040881
6,Year 3,3,0.541780057640411,0.338,False,17.848685249989053,0.6709454721527298,-0.8247332726632269,2.633111391024068
6,Year 4,4,0.7053905653613766,0.16,False,23.23875528804244,0.8129183997487791,-0.41445594560432436,3.147774559829278
6,Year 5,5,-0.48526952153321085,0.31,False,15.986972626828958,-0.49990139602408346,-2.7003814054312594,1.2396315933246338
