Decision_Year,Performance_Year,Year_Number,Coefficient,P_Value_Bootstrap,Significant_95,Weight_%,T_Statistic,CI_Lower_95,CI_Upper_95
3,Year 0,0,-0.03754569998173905,0.962,False,2.690467656648351,-0.07115032671768598,-0.9938798172769834,1.0926308532414166
3,Year 1,1,0.6086803207903982,0.204,False,43.61710441199389,0.840705399475202,-0.4427746645505001,2.3750845703831565
3,Year 2,2,0.7492822987187423,0.056,False,53.69242793135777,1.1380415743588415,-0.024723771885578328,2.6517215451012537
4,Year 0,0,0.1871992020808244,0.634,False,9.48759835685852,0.26962065606449376,-1.2894386742299275,1.6707222434524185
4,Year 1,1,0.5437672828052008,0.38,False,27.559121628246015,0.6344144058403923,-1.0503101700308868,2.55250184562713
4,Year 2,2,-0.036688280843051056,1.0,False,1.8594292559655663,-0.04015208243603184,-1.3254790836021924,2.309350800530684
4,Year 3,3,1.205438898649111,0.03,True,61.093850758929904,1.6548374826547743,0.12395535008911811,3.1551136287077512
5,Year 0,0,0.2746510628998869,0.538,False,9.13753714369016,0.3003399677808863,-1.3904619966762302,2.5117562435225715
5,Year 1,1,0.596960000049617,0.336,False,19.860633766194326,0.6675818089133099,-0.9399163997947936,2.6598970149426524
5,Year 2,2,-0.4357302756376445,0.55,False,14.496581721661228,-0.4802382956029144,-2.4163171056097235,1.5028243988966419
5,Year 3,3,0.5961698395448253,0.22,False,19.834345424595433,0.6591981942203884,-0.5565693502484903,3.1772298558447116
5,Year 4,4,1.1022337899149641,0.056,False,36.67090194385885,1.2315015228140362,-0.02506727642920562,3.4284944342028134
6,Year 0,0,0.2767119556312958,0.53,False,9.919556526437963,0.28778410298323,-1.3281408569257698,2.7132861667604344
6,Year 1,1,0.5061416587801266,0.406,False,18.14414119982717,0.4795721035795216,-1.4402762017850343,2.8699122219281814
6,Year 2,2,-0.4180749425235169,0.458,False,14.98712990260221,-0.4360807694967433,-2.461729031190926,1.664334937864753
6,Year 3,3,0.17017252871920535,0.838,False,6.100336409483749,0.13881221688763118,-2.206533305446122,2.8330461214907356
6,Year 4,4,0.85622328475534,0.226,False,30.69385004708628,0.7015285120802501,-0.64097343538335,4.171661735564038
6,Year 5,5,0.5622353734539934,0.384,False,20.15498591456263,0.5481577335362346,-0.8465731533626016,3.4922068239387762
