Performance_Year,3,4,5,6
Year 0,0.524,0.4,0.39,0.328
Year 1,0.164,0.252,0.438,0.49
Year 2,0.022,0.108,0.23,0.414
Year 3,,0.182,0.292,0.338
Year 4,,,0.054,0.16
Year 5,,,,0.31
