Decision_Year,Performance_Year,Weight_%,Coefficient
3,Year 0,24.69519612757006,0.05525373802714435
3,Year 1,44.661807178283915,0.09992760457944792
3,Year 2,30.642996694146024,0.06856151710472749
4,Year 0,30.37641602117427,0.07106876020069419
4,Year 1,36.85023159674062,0.08621491985306186
4,Year 2,21.713897762224164,0.05080190474117177
4,Year 3,11.059454619860954,-0.02587473544546793
5,Year 0,21.203535065654254,0.05493862642026793
5,Year 1,8.948510913686345,0.023185704486655852
5,Year 2,11.457454335024478,0.02968640849227028
5,Year 3,12.07218871344983,-0.03127919300954218
5,Year 4,46.318310972185095,0.12001132712254914
6,Year 0,21.507342531674833,0.039374567735258895
6,Year 1,18.064683253623947,0.03307191919867671
6,Year 2,3.0038746570464037,0.005499343583611523
6,Year 3,1.4104913040181002,0.002582256980761885
6,Year 4,49.95359309189963,0.09145254147135187
6,Year 5,6.06001516173709,-0.011094372868758683
