,correlation,p_value,significant,highly_significant,very_highly_significant,n_samples,ci_lower,ci_upper,sig_level,abs_correlation
Rush_Unnamed: 27_level_0_Fmb,-0.11665442954800433,0.2654652109587482,False,False,False,93,-0.31292990722466874,0.08917666728938795,,0.11665442954800433
AdvPass_Unnamed: 1_level_0_Age,0.11192872241936962,0.18166708988737434,False,False,False,144,-0.052613464500168655,0.2705539801037118,,0.11192872241936962
AdvPass_Accuracy_ThAwy,0.10847405908511416,0.1956079945860939,False,False,False,144,-0.05610026546450754,0.26730977490348085,,0.10847405908511416
Rush_Unnamed: 1_level_0_Age,0.1009025879607921,0.05969200090438526,False,False,False,349,-0.004123093304685752,0.2037265273306575,,0.1009025879607921
Rush_Rushing_Yds,0.10071837306201187,0.06016175581139997,False,False,False,349,-0.00430919624713401,0.20354813856447762,,0.10071837306201187
Rush_Scrimmage_YScm,0.09872224758728035,0.06545033686333165,False,False,False,349,-0.0063253138615234515,0.20161470628629702,,0.09872224758728035
AdvPass_Pressure_PktTime,0.08844786856392346,0.29179514517828975,False,False,False,144,-0.0762339779111637,0.24843237629200038,,0.08844786856392346
AdvPass_Air Yards_CAY/Cmp,0.08670219782109767,0.3014607661623314,False,False,False,144,-0.07798268091049942,0.24678106656682308,,0.08670219782109767
Rush_Receiving_Y/G,-0.08649186576043877,0.10673829053577867,False,False,False,349,-0.1897509159745752,0.01865957032803255,,0.08649186576043877
AdvPass_Accuracy_Drop%,-0.08274351813960369,0.32415254278773936,False,False,False,144,-0.24303292300674084,0.08194448580252628,,0.08274351813960369
AdvPass_Pressure_Prss,0.0750604329177616,0.3712484988195279,False,False,False,144,-0.0896188116622986,0.2357447654388207,,0.0750604329177616
Rush_Receiving_Yds,-0.07060379189827495,0.1882081468213068,False,False,False,349,-0.17429390871397973,0.03463493216009035,,0.07060379189827495
Rush_Receiving_Succ%,-0.06953537982886299,0.5644707517474392,False,False,False,71,-0.298008605106858,0.16647320394173912,,0.06953537982886299
Rush_Receiving_R/G,0.06791134660085305,0.20565680280239068,False,False,False,349,-0.03733685085276481,0.171669440106263,,0.06791134660085305
Rush_Receiving_Rec,0.06457862114592834,0.22883839530903957,False,False,False,349,-0.040679172613869934,0.16841881561463415,,0.06457862114592834
Rush_Rushing_Y/G,0.032144974801165405,0.5494943672351184,False,False,False,349,-0.07308366205410952,0.13666578197002247,,0.032144974801165405
AdvPass_Air Yards_IAY/PA,-0.02669725689662826,0.750764419196472,False,False,False,144,-0.18944879149267127,0.13748201963898898,,0.02669725689662826
Rush_Unnamed: 32_level_0_Fmb,-0.024197586192495638,0.7390203597029532,False,False,False,192,-0.16524222234862668,0.11781699228453946,,0.024197586192495638
Rush_Rushing_Lng,-0.02372472520764262,0.6587160416714634,False,False,False,349,-0.12838696127264876,0.08146017065241819,,0.02372472520764262
Rush_Receiving_TD,0.021823829252687846,0.6845306307266696,False,False,False,349,-0.08334913825770413,0.1265159728420598,,0.021823829252687846
AdvPass_Pressure_Yds/Scr,-0.01928803397479099,0.8185110078557983,False,False,False,144,-0.18229176031688385,0.14474753895050177,,0.01928803397479099
Rush_Receiving_1D,-0.00887884157970081,0.8687246752721784,False,False,False,349,-0.1137548141214318,0.09619282706250647,,0.00887884157970081
Rush_Receiving_Tgt,0.007941869365679796,0.8824718668034627,False,False,False,349,-0.09712111120776257,0.11282980265640134,,0.007941869365679796
AdvPass_Accuracy_Spikes,-0.004747344793384022,0.9549658389896583,False,False,False,144,-0.16819560771592934,0.15895497192825697,,0.004747344793384022
