,correlation,p_value,significant,highly_significant,very_highly_significant,n_samples,ci_lower,ci_upper,sig_level,abs_correlation
Pass_AV,0.6442608317918834,2.5877967261302014e-42,True,True,True,349,0.5783993239093669,0.7017775550259542,***,0.6442608317918834
Pass_QBR,0.6285537229905931,8.324113944102298e-37,True,True,True,322,0.5575581377269746,0.6904214332196409,***,0.6285537229905931
Pass_ANY/A,0.5973618628352395,3.946582842429183e-35,True,True,True,349,0.5253241124882643,0.6608975014132182,***,0.5973618628352395
Pass_AY/A,0.5629217815743488,1.4571306326489008e-30,True,True,True,349,0.4867022524091516,0.6306353459935328,***,0.5629217815743488
Pass_TD%,0.5591707745775365,4.257838919450794e-30,True,True,True,349,0.4825137082285289,0.6273268915470603,***,0.5591707745775365
Pass_NY/A,0.5481524101108708,9.193832101653722e-29,True,True,True,349,0.47023034558204024,0.6175942508149384,***,0.5481524101108708
Pass_Rate,0.546537343912674,1.4287447253329992e-28,True,True,True,349,0.46843238991150077,0.6161658559285969,***,0.546537343912674
Pass_TD,0.5432804209787471,3.4506997677206297e-28,True,True,True,349,0.4648086209078963,0.6132839783110992,***,0.5432804209787471
AdvPass_Air Yards_YAC,0.5084134168009825,7.746393164218968e-11,True,True,True,144,0.37611435082993167,0.6203965810329941,***,0.5084134168009825
Pass_Succ%,0.49793627789232264,3.3329968655828e-23,True,True,True,348,0.41450234527892516,0.5730693099041663,***,0.49793627789232264
Pass_Y/A,0.4945581551930667,6.286499590885718e-23,True,True,True,349,0.4109105025609298,0.5699485965851114,***,0.4945581551930667
AdvPass_PlayAction_PassYds,0.46753723959741744,5.6547359009290914e-08,True,True,True,122,0.31603958817760347,0.5957848820467374,***,0.46753723959741744
AdvPass_PlayAction_PassAtt,0.45930638819363356,1.0298409554329468e-07,True,True,True,122,0.3065734285171856,0.5889812570954476,***,0.45930638819363356
AdvPass_Unnamed: 6_level_0_GS,0.45787761994660486,7.919045060774519e-09,True,True,True,144,0.31812610327083746,0.5781533295181068,***,0.45787761994660486
AdvPass_Unnamed: 5_level_0_G,0.4528580581522972,1.2050771328008641e-08,True,True,True,144,0.31242284382391017,0.5739219391120509,***,0.4528580581522972
total_yards,0.44047781716014617,5.366702303004881e-18,True,True,True,349,0.3517620797866624,0.5213513653056528,***,0.44047781716014617
AdvPass_Passing_Cmp,0.434080546381191,5.465273344838518e-08,True,True,True,144,0.2911771094006578,0.5580353388679676,***,0.434080546381191
AdvPass_Air Yards_CAY,0.4305450484132399,7.192121345331234e-08,True,True,True,144,0.2871925922892261,0.5550339528749091,***,0.4305450484132399
Pass_1D,0.42708070861470976,6.630951992942106e-17,True,True,True,349,0.3372181447861838,0.5092309428699046,***,0.42708070861470976
AdvPass_Accuracy_OnTgt,0.4244556124093677,1.1024206167924902e-06,True,True,True,122,0.26682416296580097,0.5599684511826518,***,0.4244556124093677
Pass_Yds,0.422152641779636,1.6262154593940945e-16,True,True,True,349,0.33187899247863717,0.5047642861284088,***,0.422152641779636
Rush_Unnamed: 6_level_0_GS,0.4202927797724222,2.272816365114881e-16,True,True,True,349,0.3298654882108704,0.5030774106864997,***,0.4202927797724222
Pass_GWD,0.4117134959991907,1.0367418976531475e-15,True,True,True,349,0.3205881129184854,0.49528791538135947,***,0.4117134959991907
Rush_Unnamed: 5_level_0_G,0.4109001396403297,1.1944909685197741e-15,True,True,True,349,0.3197094805826596,0.49454873660311927,***,0.4109001396403297
AdvPass_Passing_Att,0.38008851198811,2.615844408196753e-06,True,True,True,144,0.23086344225547603,0.5118437829437487,***,0.38008851198811
AdvPass_Air Yards_IAY,0.3581509880067879,1.0458789418398338e-05,True,True,True,144,0.20668069215391777,0.4928554666362965,***,0.3581509880067879
Pass_4QC,0.3476527800398709,2.3743867190135916e-11,True,True,True,349,0.2518630939102043,0.4366965467648494,***,0.3476527800398709
Rush_Receiving_Y/R,-0.3397941913757391,0.02086669170204856,True,False,False,46,-0.5735230588315314,-0.05490736103012123,*,0.3397941913757391
AdvPass_Air Yards_YAC/Cmp,0.3340138967117436,4.2883332632336235e-05,True,True,True,144,0.1802853828617559,0.47181398220014886,***,0.3340138967117436
Pass_Cmp,0.32836693201975614,3.2244022493313113e-10,True,True,True,349,0.23136052991597808,0.4189080789096274,***,0.32836693201975614
AdvPass_Pressure_Prss%,-0.3256189808035569,6.820463012771779e-05,True,True,True,144,-0.4644587478925519,-0.17115665752745166,***,0.3256189808035569
Pass_Y/C,0.32537473317305526,4.75620024922055e-10,True,True,True,349,0.2281872603692721,0.4161419569702734,***,0.32537473317305526
Pass_Int%,-0.3226192125522752,6.777904074230266e-10,True,True,True,349,-0.41359314420818843,-0.22526681658996736,***,0.3226192125522752
Pass_Cmp%,0.3138283122020768,2.0491830635632754e-09,True,True,True,349,0.21596144269151366,0.4054521588782693,***,0.3138283122020768
Pass_Sk%,-0.31377621651327287,2.0624423857967713e-09,True,True,True,349,-0.40540387128650784,-0.21590635112237463,***,0.31377621651327287
AdvPass_RPO_PassAtt,0.30586404062361305,0.0006123368562058092,True,True,True,122,0.13546538981875517,0.4586885153151245,***,0.30586404062361305
AdvPass_RPO_PassYds,0.3048729889429127,0.0006391603762463959,True,True,True,122,0.1343923170390658,0.4578250673452577,***,0.3048729889429127
AdvPass_Accuracy_OnTgt%,0.2991217588515987,0.0008173062810283611,True,True,True,122,0.12817298818421902,0.45280863950302846,***,0.2991217588515987
AdvPass_RPO_Yds,0.29869271180425655,0.000832268601791938,True,True,True,122,0.12770955885135363,0.45243401896697133,***,0.29869271180425655
Pass_Y/G,0.2934267778427958,2.3313586628383528e-08,True,True,True,349,0.19443422763491097,0.3865027472662179,***,0.2934267778427958
Pass_Att,0.2788146725594797,1.1877250519519299e-07,True,True,True,349,0.17907426450647243,0.3728822202895109,***,0.2788146725594797
AdvPass_RPO_Plays,0.2771984275112127,0.001994527263280791,True,True,False,122,0.10458796950668656,0.43359667341548513,**,0.2771984275112127
Rush_Receiving_Ctch%,0.24894689042130802,0.036303438989771786,True,False,False,71,0.01660337141605196,0.45578233848374244,*,0.24894689042130802
AdvPass_Air Yards_CAY/PA,0.23897335928265284,0.003919072810454484,True,True,False,144,0.07846162436405595,0.387408070547041,**,0.23897335928265284
AdvPass_Pressure_Bltz,0.23667581019938966,0.004289472259372217,True,True,False,144,0.07604086699192103,0.38533632904381193,**,0.23667581019938966
AdvPass_Accuracy_BadTh,0.23116325183058756,0.0053093020319496245,True,True,False,144,0.07024040431294791,0.38035943648391735,**,0.23116325183058756
Rush_Scrimmage_Touch,0.2250551837747654,2.1970626804005107e-05,True,True,True,349,0.12297876614769342,0.32241946691294204,***,0.2250551837747654
Rush_Rushing_Att,0.2245037064308649,2.3040175778638843e-05,True,True,True,349,0.12240668564463969,0.3218989246890305,***,0.2245037064308649
Rush_Unnamed: 30_level_0_Fmb,-0.22349452488426824,0.21884637890950626,False,False,False,32,-0.5308257858854109,0.1357875868872892,,0.22349452488426824
Rush_Receiving_Lng,-0.21127568756017318,0.12512950812442003,False,False,False,54,-0.45339152849794084,0.05987692203279633,,0.21127568756017318
AdvPass_Accuracy_Drops,0.20751727922588506,0.012569673946375131,True,False,False,144,0.04548231891949416,0.35891270598673847,*,0.20751727922588506
AdvPass_Accuracy_Bad%,-0.1886271940601894,0.02356405780574122,True,False,False,144,-0.34166388749832416,-0.025845799376563262,*,0.1886271940601894
Rush_Scrimmage_Y/Tch,-0.1837292944821367,0.0005617466885216926,True,True,True,349,-0.2832479373632164,-0.08029606105286788,***,0.1837292944821367
Pass_Lng,0.17950512611878983,0.0007549471068424343,True,True,True,349,0.07595446797591707,0.27922518656910095,***,0.17950512611878983
Rush_Rushing_Y/A,-0.17835750717483662,0.0008171636856955004,True,True,True,349,-0.2781316836000046,-0.07477562504528068,***,0.17835750717483662
Rush_Receiving_Y/Tgt,-0.17042480096951454,0.15533007610699573,False,False,False,71,-0.3882935516391384,0.06548691743621407,,0.17042480096951454
Rush_Rushing_1D,0.16996896030754371,0.0014370126450364545,True,True,False,349,0.06616762893948404,0.2701308369844211,**,0.16996896030754371
AdvPass_Pressure_Hits,0.1669903851277409,0.04544742569614854,True,False,False,144,0.0035073134512128208,0.3217795019391039,*,0.1669903851277409
Rush_Rushing_TD,0.15685196037722993,0.0033041173719971064,True,True,False,349,0.052738378399538585,0.25759228812898716,**,0.15685196037722993
Rush_Scrimmage_RRTD,0.15580710203672093,0.0035215363934981664,True,True,False,349,0.05167026403165981,0.25659204632485544,**,0.15580710203672093
AdvPass_RPO_RushYds,0.14977548498872936,0.09964117146775976,False,False,False,122,-0.02875421580548794,0.3190451295911846,,0.14977548498872936
AdvPass_Pressure_Scrm,0.14533944130997087,0.08219067526833101,False,False,False,144,-0.018683629749593065,0.301744505614196,,0.14533944130997087
AdvPass_RPO_RushAtt,0.1450921761447986,0.11081348774273973,False,False,False,122,-0.03353694304764002,0.314738510682939,,0.1450921761447986
Rush_Rushing_Succ%,-0.14400171763641587,0.0070477251165547644,True,True,False,349,-0.24527574521946802,-0.03961865059815027,**,0.14400171763641587
Pass_Yds.1,-0.1340829633727022,0.012168451057811927,True,False,False,349,-0.23574653038338966,-0.029516440071553077,*,0.1340829633727022
AdvPass_Pressure_Hrry,0.12886791120818136,0.12371564145972958,False,False,False,144,-0.03545843277737629,0.2864092622000617,,0.12886791120818136
Rush_Rushing_A/G,0.12518036141324745,0.019315702559961234,True,False,False,349,0.020467331120334137,0.22717687984908047,*,0.12518036141324745
AdvPass_Accuracy_Bats,0.12347762506372578,0.1403561026926323,False,False,False,144,-0.04092792860005751,0.28137323307232176,,0.12347762506372578
Pass_Sk,-0.11983193085789753,0.02517632378891025,True,False,False,349,-0.22202087021903863,-0.0150391204276353,*,0.11983193085789753
Pass_Int,-0.11948584298889567,0.025603458444168312,True,False,False,349,-0.22168703659735586,-0.014688082773905849,*,0.11948584298889567
