target_qb_id,target_qb_name,decision_year,metric,n_comps,payment_rate_pct,comps_paid,comps_not_paid
DarnSa00,Sam Darnold,4,total_yards_adj,5,20.0,1,4
DarnSa00,Sam Darnold,4,Pass_ANY/A_adj,5,40.0,2,3
