season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 31_level_0_Fmb,Rush_Unnamed: 32_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards,Rush_Receiving_Y/R,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,Rush_Unnamed: 30_level_0_Fmb,Rush_Unnamed: 31_level_0_Awards,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,AdvPass_Unnamed: 31_level_0_Awards,Rush_Unnamed: 28_level_0_Fmb,Rush_Unnamed: 29_level_0_Awards
2015,34,SDG,NFL,QB,16.0,16.0,4-12-0,437.0,661.0,66.1,4792.0,29.0,4.4,13.0,2.0,227.0,48.2,80.0,7.2,7.24,11.0,299.5,93.8,57.3,40.0,264.0,5.71,6.46,6.45,1.0,2.0,12.0,,34,SDG,NFL,QB,16.0,16.0,17.0,28.0,0.0,2.0,17.6,8.0,1.6,1.8,1.1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,17.0,1.6,28.0,0.0,4.0,,Philip Rivers,RivePh00,2004.0,NYG,4820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,36,PIT,NFL,QB,16,16,9-6-1,452,675,67.0,5129.0,34,5.0,16,2.4,248,50.9,97,7.6,7.54,11.3,320.6,96.5,69.6,24,166,3.43,7.1,7.04,2,3,14,,36,PIT,NFL,QB,16,16,31,98.0,3,13,51.6,18,3.2,6.1,1.9,1,1,-1,0,0,0.0,-1.0,0.1,-0.1,100.0,-1.0,32,3.0,97,3,,,Ben Roethlisberger,RoetBe00,2004.0,PIT,5227.0,-1.0,7,,,,,,36,PIT,NFL,QB,16.0,16.0,452.0,675.0,5254.0,7.8,2327.0,5.1,3.4,2802.0,6.2,0.0,7.0,3.0,24.0,3.6,122.0,18.3,,,2.3,164.0,58.0,37.0,119.0,16.7,12.0,8.3,,,,,,,,,,,,
2006,25,BUF,NFL,QB,16.0,16.0,7-9-0,268.0,429.0,62.5,3051.0,19.0,4.4,14.0,3.3,134.0,42.9,83.0,7.1,6.53,11.4,190.7,84.9,49.5,47.0,332.0,9.87,5.71,5.19,1.0,3.0,10.0,,25,BUF,NFL,QB,16.0,16.0,38.0,140.0,1.0,14.0,47.4,15.0,3.7,8.8,2.4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,38.0,3.7,140.0,1.0,,,J.P. Losman,LosmJ.00,2004.0,BUF,3191.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,28,GNB,NFL,QB,15,15,14-1-0,343,502,68.3,4643.0,45,9.0,6,1.2,209,53.0,93,9.2,10.50,13.5,309.5,122.5,83.8,36,219,6.69,8.22,9.39,0,1,23,"PB,AP-1,AP MVP-1,AP OPoY-2",28,GNB,NFL,QB,15,15,60,257.0,3,18,38.3,25,4.3,17.1,4.0,0,0,0,0,0,,,0.0,0.0,,,60,4.3,257,3,,,Aaron Rodgers,RodgAa00,2005.0,GNB,4900.0,,4,"PB,AP-1,AP MVP-1,AP OPoY-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,28,WAS,NFL,QB,16.0,16.0,4-12-0,327.0,507.0,64.5,3618.0,20.0,3.9,15.0,3.0,187.0,45.8,84.0,7.1,6.59,11.1,226.1,86.4,55.2,43.0,285.0,7.82,6.06,5.56,1.0,1.0,11.0,,28,WAS,NFL,QB,16.0,16.0,46.0,236.0,1.0,17.0,43.5,21.0,5.1,14.8,2.9,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,46.0,5.1,236.0,1.0,,,Jason Campbell,CampJa00,2005.0,WAS,3854.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,24,TEN,NFL,QB,15.0,15.0,9-6-0,238.0,382.0,62.3,2546.0,9.0,2.4,17.0,4.5,143.0,46.7,73.0,6.7,5.13,10.7,169.7,71.1,46.9,25.0,157.0,6.14,5.87,4.43,0.0,0.0,9.0,,24,TEN,NFL,QB,15.0,15.0,93.0,395.0,3.0,26.0,41.9,21.0,4.2,26.3,6.2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,93.0,4.2,395.0,3.0,,,Vince Young,YounVi00,2006.0,TEN,2941.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,23,ARI,NFL,QB,12.0,11.0,4-7-0,214.0,377.0,56.8,2547.0,11.0,2.9,12.0,3.2,125.0,43.2,58.0,6.8,5.91,11.9,212.3,74.0,60.5,21.0,158.0,5.28,6.0,5.2,1.0,1.0,8.0,,23,ARI,NFL,QB,12.0,11.0,22.0,49.0,2.0,6.0,31.8,14.0,2.2,4.1,1.8,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,22.0,2.2,49.0,2.0,,,Matt Leinart,LeinMa00,2006.0,ARI,2596.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,25,DEN,NFL,QB,16.0,16.0,8-8-0,384.0,616.0,62.3,4526.0,25.0,4.1,18.0,2.9,223.0,51.7,93.0,7.3,6.84,11.8,282.9,86.0,61.9,11.0,69.0,1.75,7.11,6.61,3.0,4.0,15.0,PB,25,DEN,NFL,QB,16.0,16.0,57.0,200.0,2.0,14.0,42.1,18.0,3.5,12.5,3.6,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,57.0,3.5,200.0,2.0,,,Jay Cutler,CutlJa00,2006.0,DEN,4726.0,,,,,,5.0,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,23,OAK,NFL,QB,15,15,5-10-0,198,368,53.8,2423.0,13,3.5,8,2.2,110,38.1,84,6.6,6.31,12.2,161.5,77.1,29.2,31,210,7.77,5.55,5.3,1,2,7,,23,OAK,NFL,QB,15,15,17,127.0,1,11,70.6,24,7.5,8.5,1.1,1,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,17,7.5,127,1,,,JaMarcus Russell,RussJa00,2007.0,OAK,2550.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25,CLE,NFL,QB,10.0,9.0,2-7-0,136.0,256.0,53.1,1339.0,8.0,3.1,7.0,2.7,72.0,34.9,59.0,5.2,4.63,9.8,133.9,67.2,41.7,19.0,104.0,6.91,4.49,3.93,0.0,1.0,2.0,,25,CLE,NFL,QB,10.0,9.0,20.0,98.0,1.0,10.0,65.0,24.0,4.9,9.8,2.0,1.0,1.0,18.0,0.0,1.0,100.0,18.0,0.1,1.8,100.0,18.0,21.0,5.5,116.0,1.0,,,Brady Quinn,QuinBr00,2007.0,CLE,1437.0,18.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,31,ATL,NFL,QB,16.0,16.0,11-5-0,373.0,534.0,69.9,4944.0,38.0,7.1,7.0,1.3,240.0,52.5,76.0,9.3,10.09,13.3,309.0,117.1,79.6,37.0,235.0,6.48,8.25,9.03,1.0,2.0,21.0,"PB,AP-1,AP MVP-1,AP OPoY-1",31,ATL,NFL,QB,16.0,16.0,35.0,117.0,0.0,13.0,42.9,18.0,3.3,7.3,2.2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,35.0,3.3,117.0,0.0,,,Matt Ryan,RyanMa00,2008.0,ATL,5061.0,,4.0,"PB,AP-1,AP MVP-1,AP OPoY-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,31,BAL,NFL,QB,16.0,16.0,8-8-0,436.0,672.0,64.9,4317.0,20.0,3.0,15.0,2.2,204.0,43.0,95.0,6.4,6.01,9.9,269.8,83.5,52.5,33.0,243.0,4.68,5.78,5.39,2.0,2.0,9.0,,31,BAL,NFL,QB,16.0,16.0,21.0,58.0,2.0,6.0,33.3,16.0,2.8,3.6,1.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,21.0,2.8,58.0,2.0,,,Joe Flacco,FlacJo00,2008.0,BAL,4375.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,23,DET,NFL,QB,16.0,16.0,10-6-0,421.0,663.0,63.5,5038.0,41.0,6.2,16.0,2.4,243.0,49.8,73.0,7.6,7.75,12.0,314.9,97.2,60.5,36.0,257.0,5.15,6.84,6.98,3.0,4.0,16.0,AP CPoY-1,23,DET,NFL,QB,16.0,16.0,22.0,78.0,0.0,7.0,31.8,22.0,3.5,4.9,1.4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,22.0,3.5,78.0,0.0,,,Matthew Stafford,StafMa00,2009.0,DET,5116.0,,5.0,AP CPoY-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,25,NYJ,NFL,QB,16.0,16.0,8-8-0,308.0,543.0,56.7,3474.0,26.0,4.8,18.0,3.3,172.0,40.2,74.0,6.4,5.86,11.3,217.1,78.2,42.1,39.0,243.0,6.7,5.55,5.05,4.0,4.0,8.0,,25,NYJ,NFL,QB,16.0,16.0,37.0,103.0,6.0,15.0,43.2,25.0,2.8,6.4,2.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,37.0,2.8,103.0,6.0,,,Mark Sanchez,SancMa00,2009.0,NYJ,3577.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,24,TAM,NFL,QB,16.0,16.0,7-9-0,306.0,558.0,54.8,4065.0,27.0,4.8,17.0,3.0,186.0,41.4,95.0,7.3,6.88,13.3,254.1,81.6,49.4,26.0,161.0,4.45,6.68,6.3,1.0,1.0,13.0,,24,TAM,NFL,QB,16.0,16.0,39.0,139.0,0.0,16.0,46.2,13.0,3.6,8.7,2.4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,39.0,3.6,139.0,0.0,10.0,,Josh Freeman,FreeJo00,2009.0,TAM,4204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,29,MIN,NFL,QB,15.0,15.0,7-8-0,395.0,552.0,71.6,3877.0,20.0,3.6,5.0,0.9,199.0,49.1,71.0,7.0,7.34,9.8,258.5,99.3,53.1,37.0,276.0,6.28,6.11,6.41,1.0,1.0,11.0,,29,MIN,NFL,QB,15.0,15.0,20.0,53.0,0.0,3.0,25.0,24.0,2.7,3.5,1.3,1.0,1.0,5.0,0.0,0.0,100.0,5.0,0.1,0.3,100.0,5.0,21.0,2.8,58.0,0.0,,,Sam Bradford,BradSa00,2010.0,STL,3930.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,24,DEN,NFL,QB,14.0,11.0,7-4-0,126.0,271.0,46.5,1729.0,12.0,4.4,6.0,2.2,77.0,33.6,56.0,6.4,6.27,13.7,123.5,72.9,38.6,33.0,225.0,10.86,4.95,4.85,5.0,5.0,8.0,,24,DEN,NFL,QB,14.0,11.0,122.0,660.0,6.0,38.0,42.6,32.0,5.4,47.1,8.7,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,122.0,5.4,660.0,6.0,,,Tim Tebow,TeboTi00,2010.0,DEN,2389.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,22,CAR,NFL,QB,16.0,16.0,6-10-0,310.0,517.0,60.0,4051.0,21.0,4.1,17.0,3.3,176.0,44.2,91.0,7.8,7.17,13.1,253.2,84.5,56.6,35.0,260.0,6.34,6.87,6.24,1.0,1.0,19.0,"PB,AP ORoY-1",22,CAR,NFL,QB,16.0,16.0,126.0,706.0,14.0,53.0,53.2,49.0,5.6,44.1,7.9,1.0,1.0,27.0,0.0,1.0,100.0,27.0,0.1,1.7,100.0,27.0,127.0,5.8,733.0,14.0,,,Cam Newton,NewtCa00,2011.0,CAR,4757.0,27.0,5.0,"PB,AP ORoY-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,24,TEN,NFL,QB,11,11,4-7-0,177,314,56.4,2176.0,10,3.2,11,3.5,94,38.1,71,6.9,5.99,12.3,197.8,74.0,42.0,25,151,7.37,5.97,5.1,0,1,6,,24,TEN,NFL,QB,11,11,41,291.0,1,14,48.8,32,7.1,26.5,3.7,1,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,41,7.1,291,1,,,Jake Locker,LockJa00,2011.0,TEN,2467.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,22,JAX,NFL,QB,15.0,14.0,4-10-0,210.0,413.0,50.8,2214.0,12.0,2.9,11.0,2.7,111.0,32.2,74.0,5.4,4.74,10.5,147.6,65.4,22.2,40.0,293.0,8.83,4.24,3.68,0.0,0.0,4.0,,22,JAX,NFL,QB,15.0,14.0,48.0,98.0,0.0,8.0,29.2,12.0,2.0,6.5,3.2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,48.0,2.0,98.0,0.0,,,Blaine Gabbert,GabbBl00,2011.0,JAX,2312.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,24,MIN,NFL,QB,16,16,10-6-0,300,483,62.1,2935.0,18,3.7,12,2.5,166,43.9,65,6.1,5.7,9.8,183.4,81.2,52.1,32,184,6.21,5.34,4.99,1,2,11,,24,MIN,NFL,QB,16,16,60,253.0,2,12,33.3,29,4.2,15.8,3.8,1,1,-15,0,0,0.0,-15.0,0.1,-0.9,100.0,-15.0,61,3.9,238,2,,,Christian Ponder,PondCh00,2011.0,MIN,3188.0,-15.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,25,IND,NFL,QB,16,16,11-5-0,380,616,61.7,4761.0,40,6.5,16,2.6,235,47.9,80,7.7,7.86,12.5,297.6,96.5,64.0,27,161,4.20,7.15,7.28,1,1,16,PB,25,IND,NFL,QB,16,16,64,273.0,3,20,42.2,20,4.3,17.1,4.0,0,0,0,0,0,,,0.0,0.0,,,64,4.3,273,3,,,Andrew Luck,LuckAn00,2012.0,IND,5034.0,,13,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
