metric,years_since_draft,count,min,p10,p25,median,mean,p75,p90,max,std
total_yards_adj,0,70,29.57790048474221,385.37581214556025,1140.1107975624552,2597.24222543378,2429.2605487765118,3563.2448912933182,4213.143347795454,4927.877762757386,1402.8533160609857
total_yards_adj,1,68,59.87473891693645,565.9348400270619,1793.4024658908731,3112.762977607099,2838.1530681197755,3932.378600455501,4528.065461349,5456.3240104253,1452.3238029507993
total_yards_adj,2,59,145.66241605667255,300.9984264716026,1816.139736207112,3403.571262922836,2935.4439011227564,4064.8288608643616,4780.704351358184,5299.773519921544,1559.5535366246493
total_yards_adj,3,64,-3.0570804218751544,313.8760462008255,1096.0623749827437,2786.0587313666183,2542.4386253326097,3856.6244935266263,4449.453052703576,5323.8020699862445,1628.591480356785
total_yards_adj,4,76,0.0,608.8647010139324,944.0361760482938,2130.1316732211326,2239.6902402338674,3269.108873759314,4631.953129586387,5431.438109923629,1518.2337228340239
total_yards_adj,5,41,-6.081102567557712,69.74413192121719,586.7357157673273,2354.7778401919863,2364.91191076881,4218.251612106375,4511.032565454382,5638.077609455624,1832.0379711928965
total_yards_adj,6,39,-1.0162644832231886,39.2686921377249,639.3497682854559,3319.827834202189,2546.7340691226136,4395.8711193263425,4891.745211957533,5087.0,1956.395507705177
Pass_ANY/A_adj,0,70,-2.2598346896532164,3.5541614207465506,4.2722411426881415,5.330518931440007,5.24844136054423,6.208913712615453,7.219227904815754,14.522785132237312,2.072096405998162
Pass_ANY/A_adj,1,68,1.617883827972778,4.234823480884062,4.925844246030231,5.457044067605951,5.515665548610787,6.200986314276548,7.173663201023253,8.997300283832566,1.3446967893681334
Pass_ANY/A_adj,2,59,1.2370468210666965,4.277503035534212,5.039921366055317,5.80696358980069,5.868349491317186,6.884254197380593,7.592511698293004,10.280869303736914,1.532882150601633
Pass_ANY/A_adj,3,64,-22.817470178926435,4.38326599649392,5.1167537655138835,5.970982120442945,5.361211449875215,6.628576933739948,8.094805932908233,8.566487448112273,4.102762526441883
Pass_ANY/A_adj,4,76,-0.2514996713049195,3.565865318609383,4.628399168967498,4.989835980426998,5.138527167367994,6.238862423598584,7.180115568604721,8.304088416434654,1.5693450317619515
Pass_ANY/A_adj,5,40,0.0,3.271586619208195,4.586321776339176,5.760845142113501,5.4830987890552505,6.526971836308954,7.390624071995174,8.555065671306693,1.7878710826395945
Pass_ANY/A_adj,6,37,-1.3708719690166145,3.3457317954058943,4.688638637544081,6.264316762358213,5.8089829464169345,7.03388492380611,7.972961658031088,12.156607047442275,2.396486263276468
