player_id,player_name,draft_year,draft_team,pick_number,season,years_since_draft,got_paid,payment_year,years_to_payment,total_yards_adj
FreeJo00,Josh Freeman,2009.0,TAM,17,2011,2.0,False,,,3967.578690637122
FreeJo00,Josh Freeman,2009.0,TAM,17,2012,3.0,False,,,4343.012745406038
FreeJo00,Josh Freeman,2009.0,TAM,17,2013,4.0,False,,,804.6080059084284
FreeJo00,Josh Freeman,2009.0,TAM,17,2013,4.0,False,,,804.6080059084284
FreeJo00,Josh Freeman,2009.0,TAM,17,2013,4.0,False,,,608.8647010139324
FreeJo00,Josh Freeman,2009.0,TAM,17,2013,4.0,False,,,608.8647010139324
FreeJo00,Josh Freeman,2009.0,TAM,17,2013,4.0,False,,,216.34786330444297
FreeJo00,Josh Freeman,2009.0,TAM,17,2013,4.0,False,,,216.34786330444297
FreeJo00,Josh Freeman,2009.0,TAM,17,2015,6.0,False,,,177.25523802011188
GabbBl00,Blaine Gabbert,2011.0,JAX,10,2011,0.0,False,,,2395.050112990346
GabbBl00,Blaine Gabbert,2011.0,JAX,10,2012,1.0,False,,,1774.8087289742089
GabbBl00,Blaine Gabbert,2011.0,JAX,10,2013,2.0,False,,,528.5069232151393
GabbBl00,Blaine Gabbert,2011.0,JAX,10,2014,3.0,False,,,44.17839866116503
GabbBl00,Blaine Gabbert,2011.0,JAX,10,2015,4.0,False,,,2270.50640145993
GabbBl00,Blaine Gabbert,2011.0,JAX,10,2016,5.0,False,,,1121.9409994332918
GabbBl00,Blaine Gabbert,2011.0,JAX,10,2017,6.0,False,,,1190.2233109167269
GoffJa00,Jared Goff,2016.0,LAR,1,2016,0.0,False,,,1129.0936287557265
GoffJa00,Jared Goff,2016.0,LAR,1,2017,1.0,False,,,3928.348342109573
GoffJa00,Jared Goff,2016.0,LAR,1,2018,2.0,False,,,4874.004461538413
GoffJa00,Jared Goff,2016.0,LAR,1,2019,3.0,False,,,4741.232968505829
GoffJa00,Jared Goff,2016.0,LAR,1,2020,4.0,False,,,4094.6880929398662
GoffJa00,Jared Goff,2016.0,LAR,1,2021,5.0,False,,,3358.8780502511427
GoffJa00,Jared Goff,2016.0,LAR,1,2022,6.0,False,,,4535.1940257229535
GrifRo01,Robert Griffin III,2012.0,WAS,2,2012,0.0,False,,,4147.763123883265
GrifRo01,Robert Griffin III,2012.0,WAS,2,2013,1.0,False,,,3803.601482476207
GrifRo01,Robert Griffin III,2012.0,WAS,2,2014,2.0,False,,,1921.2466394506653
GrifRo01,Robert Griffin III,2012.0,WAS,2,2016,4.0,False,,,1099.4613072770692
GrifRo01,Robert Griffin III,2012.0,WAS,2,2018,6.0,False,,,21.34155414768696
GrosRe00,Rex Grossman,2003.0,CHI,22,2003,0.0,False,,,461.871570718352
GrosRe00,Rex Grossman,2003.0,CHI,22,2004,1.0,False,,,691.9116006252196
GrosRe00,Rex Grossman,2003.0,CHI,22,2005,2.0,False,,,272.82684090437664
GrosRe00,Rex Grossman,2003.0,CHI,22,2006,3.0,False,,,3356.136681396701
GrosRe00,Rex Grossman,2003.0,CHI,22,2007,4.0,False,,,1506.303618414625
GrosRe00,Rex Grossman,2003.0,CHI,22,2008,5.0,False,,,272.63548901651063
GrosRe00,Rex Grossman,2003.0,CHI,22,2009,6.0,False,,,43.75047663523437
HarrJo00,Joey Harrington,2002.0,DET,3,2002,0.0,False,,,2441.257911361047
HarrJo00,Joey Harrington,2002.0,DET,3,2003,1.0,False,,,3141.997887042734
HarrJo00,Joey Harrington,2002.0,DET,3,2004,2.0,False,,,3403.571262922836
HarrJo00,Joey Harrington,2002.0,DET,3,2005,3.0,False,,,2213.162906332414
HarrJo00,Joey Harrington,2002.0,DET,3,2006,4.0,False,,,2373.9808763557257
HarrJo00,Joey Harrington,2002.0,DET,3,2007,5.0,False,,,2354.7778401919863
HaskDw00,Dwayne Haskins,2019.0,WAS,15,2019,0.0,False,,,1485.8160606732674
HaskDw00,Dwayne Haskins,2019.0,WAS,15,2020,1.0,False,,,1501.0150130870654
HerbJu00,Justin Herbert,2020.0,LAC,6,2020,0.0,True,2023.0,-3.0,4619.285259129892
HerbJu00,Justin Herbert,2020.0,LAC,6,2021,1.0,True,2023.0,-2.0,5358.882267447501
HerbJu00,Justin Herbert,2020.0,LAC,6,2022,2.0,True,2023.0,-1.0,4912.205278138406
HerbJu00,Justin Herbert,2020.0,LAC,6,2023,3.0,True,2023.0,0.0,3370.991661493139
HerbJu00,Justin Herbert,2020.0,LAC,6,2024,4.0,True,2023.0,1.0,4176.0
JackLa00,Lamar Jackson,2018.0,BAL,32,2018,0.0,True,2023.0,-5.0,1926.8374601911655
JackLa00,Lamar Jackson,2018.0,BAL,32,2019,1.0,True,2023.0,-4.0,4391.569570871261
JackLa00,Lamar Jackson,2018.0,BAL,32,2020,2.0,True,2023.0,-3.0,3802.571366487232
JackLa00,Lamar Jackson,2018.0,BAL,32,2021,3.0,True,2023.0,-2.0,3678.435175680198
JackLa00,Lamar Jackson,2018.0,BAL,32,2022,4.0,True,2023.0,-1.0,3022.1221993622694
JackLa00,Lamar Jackson,2018.0,BAL,32,2023,5.0,True,2023.0,0.0,4511.032565454382
JackLa00,Lamar Jackson,2018.0,BAL,32,2024,6.0,True,2023.0,1.0,5087.0
JoneDa05,Daniel Jones,2019.0,NYG,6,2019,0.0,True,2023.0,-4.0,3350.687514724299
JoneDa05,Daniel Jones,2019.0,NYG,6,2020,1.0,True,2023.0,-3.0,3402.3006963306816
JoneDa05,Daniel Jones,2019.0,NYG,6,2021,2.0,True,2023.0,-2.0,2747.989665361529
JoneDa05,Daniel Jones,2019.0,NYG,6,2022,3.0,True,2023.0,-1.0,3933.9867485377777
JoneDa05,Daniel Jones,2019.0,NYG,6,2023,4.0,True,2023.0,0.0,1117.982065010366
JoneDa05,Daniel Jones,2019.0,NYG,6,2024,5.0,True,2023.0,1.0,2335.0
JoneMa05,Mac Jones,2021.0,NWE,15,2021,0.0,False,,,3961.7019020069
JoneMa05,Mac Jones,2021.0,NWE,15,2022,1.0,False,,,3115.620989961302
JoneMa05,Mac Jones,2021.0,NWE,15,2023,2.0,False,,,2221.926687051992
JoneMa05,Mac Jones,2021.0,NWE,15,2024,3.0,False,,,1764.0
LancTr00,Trey Lance,2021.0,SFO,3,2021,0.0,False,,,777.2193807753995
LancTr00,Trey Lance,2021.0,SFO,3,2022,1.0,False,,,262.39983168115515
LancTr00,Trey Lance,2021.0,SFO,3,2024,3.0,False,,,307.0
LawrTr00,Trevor Lawrence,2021.0,JAX,1,2021,0.0,True,2024.0,-3.0,4007.064900884842
LawrTr00,Trevor Lawrence,2021.0,JAX,1,2022,1.0,True,2024.0,-2.0,4427.6201483670775
LawrTr00,Trevor Lawrence,2021.0,JAX,1,2023,2.0,True,2024.0,-1.0,4366.647437775913
LawrTr00,Trevor Lawrence,2021.0,JAX,1,2024,3.0,True,2024.0,0.0,2164.0
LeftBy00,Byron Leftwich,2003.0,JAX,7,2003,0.0,False,,,3100.68368690967
LeftBy00,Byron Leftwich,2003.0,JAX,7,2004,1.0,False,,,3263.0762356203104
LeftBy00,Byron Leftwich,2003.0,JAX,7,2005,2.0,False,,,2306.9142145968526
LeftBy00,Byron Leftwich,2003.0,JAX,7,2006,3.0,False,,,1260.5208193039252
LeftBy00,Byron Leftwich,2003.0,JAX,7,2007,4.0,False,,,299.58472522015484
LeftBy00,Byron Leftwich,2003.0,JAX,7,2008,5.0,False,,,323.81992948321187
LeftBy00,Byron Leftwich,2003.0,JAX,7,2009,6.0,False,,,625.0068090747767
LeinMa00,Matt Leinart,2006.0,ARI,10,2006,0.0,False,,,2726.926705760825
