Decision_Year,Performance_Year,Year_Number,Coefficient,P_Value_Bootstrap,Significant_95,Weight_%,T_Statistic,CI_Lower_95,CI_Upper_95
3,Year 0,0,0.20711646038529422,0.522,False,12.881693484562904,0.3634872469854555,-0.7202239226143806,1.551229576442814
3,Year 1,1,0.4602202980647805,0.164,False,28.623590824293622,0.8605007053064697,-0.2675470791586723,1.8619965281698658
3,Year 2,2,0.9404988932326589,0.024,True,58.494715691143476,2.0153956481981155,0.13350092982467757,1.9784198908871398
4,Year 0,0,0.30192519883247176,0.374,False,15.983758087073205,0.47552000126233535,-0.6189937877563673,1.9701952125441673
4,Year 1,1,0.38933312068040266,0.262,False,20.611086588018683,0.7157244281530826,-0.3656398177794619,1.7344895167116046
4,Year 2,2,0.7243956232699941,0.118,False,38.34911576263219,1.4232783009066663,-0.23471127223260935,1.8181336048261287
4,Year 3,3,0.4732960600118591,0.19,False,25.056039562275924,1.085670263827414,-0.25427598816145686,1.5193648916733642
5,Year 0,0,0.36341977820777893,0.394,False,14.071610187810782,0.37128317958157864,-0.9142173433430296,2.987852671889356
5,Year 1,1,0.36212101795509144,0.496,False,14.02132220377929,0.45851034264125823,-1.1432508180615129,2.1072468501039214
5,Year 2,2,0.5755543104966607,0.256,False,22.28545716241336,0.8972300988358032,-0.6141734320635702,2.1414469908445146
5,Year 3,3,0.39380531477780767,0.314,False,15.248137860766589,0.7154664011218329,-0.49907849582519137,1.5907848118850334
5,Year 4,4,0.8877448718680656,0.05,True,34.37347258522998,1.0750970130527908,0.010481332969414774,3.1984941484080456
6,Year 0,0,0.3838863383513019,0.396,False,12.64695207653969,0.3161564676273975,-1.3394680344271475,3.795684360519699
6,Year 1,1,0.2896310248703938,0.488,False,9.541755789347492,0.2743387773723117,-1.1076474088825239,3.2002454873465944
6,Year 2,2,0.629448462219404,0.374,False,20.736878969252352,0.7348824062447601,-1.3129807643326932,2.2622523386869937
6,Year 3,3,0.541780057640411,0.384,False,17.848685249989053,0.6661322537866491,-0.8245820639509907,2.4513017886643866
6,Year 4,4,0.7053905653613766,0.178,False,23.23875528804244,0.7447071689418574,-0.4238447872644712,3.3792782418076452
6,Year 5,5,-0.48526952153321085,0.31,False,15.986972626828958,-0.5428423359525808,-2.693544412162026,0.9512356726516298
