stat,year,adjustment_factor
total_yards,2000,1.0683951691356166
total_yards,2001,1.065359110113683
total_yards,2002,1.0623402573372702
total_yards,2003,1.0593384649503486
total_yards,2004,1.0563535887407933
total_yards,2005,1.0533854861172842
total_yards,2006,1.0504340160866044
total_yards,2007,1.0474990392313106
total_yards,2008,1.0445804176877802
total_yards,2009,1.0416780151246279
total_yards,2010,1.0387916967214752
total_yards,2011,1.0359213291480736
total_yards,2012,1.033066780543777
total_yards,2013,1.0302279204973475
total_yards,2014,1.0274046200270939
total_yards,2015,1.0245967515613403
total_yards,2016,1.0218041889192093
total_yards,2017,1.0190268072917181
total_yards,2018,1.0162644832231886
total_yards,2019,1.013517094592952
total_yards,2020,1.0107845205973505
total_yards,2021,1.0080666417320356
total_yards,2022,1.0053633397745407
total_yards,2023,1.0026744977671442
total_yards,2024,1.0
total_yards,2025,0.9973397319945363
Pass_TD,2000,1.1777322229340161
Pass_TD,2001,1.1690746299028347
Pass_TD,2002,1.1605433931772842
Pass_TD,2003,1.1521357665697396
Pass_TD,2004,1.143849082899878
Pass_TD,2005,1.1356807511737106
Pass_TD,2006,1.1276282538825784
Pass_TD,2007,1.1196891444162922
Pass_TD,2008,1.1118610445847552
Pass_TD,2009,1.1041416422428283
Pass_TD,2010,1.0965286890134804
Pass_TD,2011,1.0890199981044446
Pass_TD,2012,1.0816134422140127
Pass_TD,2013,1.0743069515216679
Pass_TD,2014,1.0670985117596539
Pass_TD,2015,1.0599861623616238
Pass_TD,2016,1.052967994684874
Pass_TD,2017,1.0460421503026995
Pass_TD,2018,1.0392068193637363
Pass_TD,2019,1.0324602390151862
Pass_TD,2020,1.0258006918870657
Pass_TD,2021,1.0192265046347637
Pass_TD,2022,1.0127360465372495
Pass_TD,2023,1.0063277281485383
Pass_TD,2024,1.0
Pass_TD,2025,0.9937513513513526
Pass_Yds,2000,1.1050961933884094
Pass_Yds,2001,1.1002780668677203
Pass_Yds,2002,1.095501771221275
Pass_Yds,2003,1.0907667640414898
Pass_Yds,2004,1.0860725122580583
Pass_Yds,2005,1.081418491937887
Pass_Yds,2006,1.0768041880901666
Pass_Yds,2007,1.0722290944763933
Pass_Yds,2008,1.0676927134252323
Pass_Yds,2009,1.063194555652043
Pass_Yds,2010,1.058734140082963
Pass_Yds,2011,1.0543109936833917
Pass_Yds,2012,1.0499246512907536
Pass_Yds,2013,1.0455746554514325
Pass_Yds,2014,1.0412605562617234
Pass_Yds,2015,1.0369819112127248
Pass_Yds,2016,1.0327382850390259
Pass_Yds,2017,1.0285292495710963
Pass_Yds,2018,1.0243543835912794
Pass_Yds,2019,1.0202132726932647
Pass_Yds,2020,1.016105509144969
Pass_Yds,2021,1.0120306917547084
Pass_Yds,2022,1.0079884257405751
Pass_Yds,2023,1.0039783226029453
Pass_Yds,2024,1.0
Pass_Yds,2025,0.9960530816262125
Pass_ANY/A,2000,1.0500929235167977
Pass_ANY/A,2001,1.0479057292855511
Pass_ANY/A,2002,1.0457276273454628
Pass_ANY/A,2003,1.0435585611183724
Pass_ANY/A,2004,1.04139847449457
Pass_ANY/A,2005,1.0392473118279568
Pass_ANY/A,2006,1.037105017931268
Pass_ANY/A,2007,1.0349715380713518
Pass_ANY/A,2008,1.0328468179645094
Pass_ANY/A,2009,1.0307308037718905
Pass_ANY/A,2010,1.0286234420949447
Pass_ANY/A,2011,1.026524679970932
Pass_ANY/A,2012,1.0244344648684836
Pass_ANY/A,2013,1.0223527446832201
Pass_ANY/A,2014,1.0202794677334222
Pass_ANY/A,2015,1.0182145827557525
Pass_ANY/A,2016,1.0161580389010318
Pass_ANY/A,2017,1.0141097857300638
Pass_ANY/A,2018,1.0120697732095123
Pass_ANY/A,2019,1.0100379517078266
Pass_ANY/A,2020,1.0080142719912175
Pass_ANY/A,2021,1.005998685219678
Pass_ANY/A,2022,1.003991142943058
Pass_ANY/A,2023,1.001991597097179
Pass_ANY/A,2024,1.0
Pass_ANY/A,2025,0.9980163043478261
Rush_Rushing_Succ%,2000,1.553430931820293
Rush_Rushing_Succ%,2001,1.5184168138136072
Rush_Rushing_Succ%,2002,1.4849463292614364
Rush_Rushing_Succ%,2003,1.4529196007569334
Rush_Rushing_Succ%,2004,1.4222451854440854
Rush_Rushing_Succ%,2005,1.3928392030644974
Rush_Rushing_Succ%,2006,1.3646245699826955
Rush_Rushing_Succ%,2007,1.337530324460734
Rush_Rushing_Succ%,2008,1.3114910307468903
Rush_Rushing_Succ%,2009,1.2864462514429873
Rush_Rushing_Succ%,2010,1.2623400791942254
Rush_Rushing_Succ%,2011,1.239120720063324
Rush_Rushing_Succ%,2012,1.2167401220544323
Rush_Rushing_Succ%,2013,1.195153643179718
Rush_Rushing_Succ%,2014,1.1743197542434882
Rush_Rushing_Succ%,2015,1.1541997721800565
Rush_Rushing_Succ%,2016,1.1347576203426761
Rush_Rushing_Succ%,2017,1.1159596126183038
Rush_Rushing_Succ%,2018,1.0977742586503834
Rush_Rushing_Succ%,2019,1.0801720878004621
Rush_Rushing_Succ%,2020,1.0631254897785747
Rush_Rushing_Succ%,2021,1.0466085701296035
Rush_Rushing_Succ%,2022,1.0305970189847005
Rush_Rushing_Succ%,2023,1.0150679916786243
Rush_Rushing_Succ%,2024,1.0
W-L%,2000,0.9999715399484628
W-L%,2001,0.9999727257516008
W-L%,2002,0.999973911557551
W-L%,2003,0.9999750973663136
W-L%,2004,0.9999762831778887
W-L%,2005,0.999977468992276
W-L%,2006,0.9999786548094758
W-L%,2007,0.999979840629488
W-L%,2008,0.9999810264523125
W-L%,2009,0.9999822122779495
W-L%,2010,0.9999833981063988
W-L%,2011,0.9999845839376607
W-L%,2012,0.9999857697717349
W-L%,2013,0.9999869556086216
W-L%,2014,0.9999881414483207
W-L%,2015,0.9999893272908323
W-L%,2016,0.9999905131361565
W-L%,2017,0.9999916989842931
W-L%,2018,0.9999928848352422
W-L%,2019,0.9999940706890038
W-L%,2020,0.999995256545578
W-L%,2021,0.9999964424049647
W-L%,2022,0.9999976282671639
W-L%,2023,0.9999988141321756
W-L%,2024,1.0
Pts,2000,1.1101369191155444
Pts,2001,1.1050657301597129
Pts,2002,1.1000406616673886
Pts,2003,1.0950610873155135
Pts,2004,1.0901263920706765
Pts,2005,1.085235971935882
Pts,2006,1.0803892337041014
Pts,2007,1.0755855947184023
Pts,2008,1.0708244826384465
Pts,2009,1.0661053352131615
Pts,2010,1.0614276000593998
Pts,2011,1.0567907344463947
Pts,2012,1.0521942050858513
Pts,2013,1.0476374879274752
